stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.83,0,0,5.4,0,0,0,0.84,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.76,0,0,145.4,0,0,0,11.94,0,0
 36-46,0,0,0,2.28,0,0,0,0,0,0,0,0,356.14,0,0,0,53.12,0,0
 48-58,0,0,0,7.93,0,2.67,0,0,0,2.91,0,1.02,536.63,0,0,0,70.45,0,0.53
 60-70,0,0,0,8.56,0,0,0,0,0,2.89,2.08,0,567.27,0,0,2.11,78.28,0,0
 72-82,0,0,1.33,23.25,1.8,4.41,0,5.83,0,2.12,0,0.51,490.89,0.55,0.97,0.66,110.35,0,0
 84-94,0,0,0,33.76,0,2.96,0.59,0,0,1.87,0,0,363.97,0,0,2.3,33.78,2.74,0
 96-106,0,0,2.43,15.33,0,3.32,0,0,0,0,0,0,139.46,0,0,0,14.13,0,0
108-118,0,0,3.53,18.68,0,3.18,0,0,0,0,0,0,304.9,0,0,0,3.72,0,0
120,0,0,0,19.76,0,0,0,0,19.61,0,0,0,288.65,0,0,0,4.72,0,0
