stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,10.56,73.86,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.49,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.92,0,0,0,0,24.57,0,4.17,0
 10-12,0,6.96,7.11,0,0,0,8.64,0,73.02,5.15,19.06,0
 24-34,0,0,0.59,0,0,0.65,0,0,8.61,0,0,3.72
 36-46,0,0,0,0,0,0,0,0,6.76,0,0,0
 48-58,0,0,0,0,0,0,0,0,8.63,0,0,1.65
 60-70,0,0,0,4.79,0.87,0,0,2.78,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.55,0,0,0
 84-94,0,0,0,3.65,0,0,0,0,0,0,0,0
 96-106,0,0,0,7.76,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0,0,0,0.91,1.37,0,0,0
120,0,0,0,0,0,0,0,0,23.82,0,0,0
