stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vasculature
  3-4,63.87,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0
  5-6,83.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0
 14-21,0,1.69,0,0,0,0,0,0,0,0,0,12.51,0,1.02,0,0,0,0
 24-34,0,2.31,2.24,0.82,0,0,0,0,0,0,0,6.34,0.63,0.63,0,1.93,0,0.61
 36-46,0,0,0,0,1.44,0,0,0,0.88,0,0.57,30.6,0,0,0.63,2.1,0,0
 48-58,0,0,12.2,0,0,0,0,0.47,1.2,0,0,42.8,1.02,0.74,0,1.1,0,0
 60-70,0,0,2.12,0,2.4,0,0.59,0.63,2.37,0,0.76,22.45,0.63,0.58,0,4.3,0,0
 72-82,0,0,14.94,0,0,0,0,0.79,0,0.71,0,57.35,0,0.79,0,2.03,0,0
 84-94,0,0.6,3.18,0,0.73,0,0,0,0,0,1.48,31.24,5.35,4.92,0,2.12,0,0
 96-106,0,1.49,9.81,0,0,0.86,0,2.47,0,0,0,32.91,0.97,1.57,0,0,0,0
108-118,0,1.02,7.14,0,4.34,0,0,0,3.72,0,0.45,30,0.52,0,0,3.19,0.52,0
120,0,0,0,0,0,0,0,0,0,0,0,18.36,3.12,0,0,0,0,0
