stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature,xanthophores
  3-4,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71,0,0,10.18,0,0,0,0,0,0
 14-21,0,4.29,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,52.81,3.27,0,0,1.02,0,20.09,0,0,0
 24-34,0,2.22,1.1,0,2.22,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,329.08,33.18,0,0,0.64,0,96.52,0,1.17,0
 36-46,0,0.95,0,0,15.56,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,3.75,726.29,36.07,1.59,0,1.73,0.74,178.8,0,0,0
 48-58,0,0.67,5.11,0,65.68,0,0,7.69,0,0,0,0,0,1.43,0,3.49,6.34,0,0,0.52,956.94,21.02,0.45,0,5.93,0,177.56,0,0,0.62
 60-70,0,2.14,0.6,0,353.23,0,0,6.18,0,0,0.65,0,0,0,0,0,3.22,0,1.34,0,1289.91,34.01,0.63,0,4.22,0,200.84,0,0,0
 72-82,0,5.54,5.91,1.37,554.96,0,0,14.38,6.61,0,0,0,0,0,0,0.85,8.3,0,3.05,0,1331.26,40.85,5.61,0,0.51,1.65,192.65,0,0,17.7
 84-94,0,4.32,8.53,0,444.19,0,0,13.86,1.82,0,0,8.95,4.06,0,0,0,4.78,0,0,1.3,779.42,24.22,5.16,0,2.03,0,60.45,0,1.26,2.6
 96-106,0,0.91,5.87,2.3,670.49,0,0,27.8,4.51,4.11,4.89,0,0.75,0,0,0,5.68,1.34,0,0,769.43,47.22,12.58,0,1.05,0,47.23,4.85,2.58,8.09
108-118,0,2.75,13.36,0,603.26,0,0.81,18.62,1.09,0,0,0,0,0,0.45,0,18.48,0,1.29,0.48,1052.41,38.97,13.33,0,3.62,0,39.86,2.95,0,0
120,0,0,3.68,0,312.68,1.21,0,26.03,1.52,0,0,0,0,0,0,0,24.92,0,0,0,1287.08,45.75,20.95,0,0,0,35.41,0,6.49,0
