stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,0,47.4,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.4,81.46,0,0,1719.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,132.58,0,246.62,0,0,15.85,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,2602.45,170.95,0,0,5377.17,0,3.07,0,4.19,584.7,0,6.22,9.81,0,0,0,0
 14-21,1.77,3.15,0,12.78,911.65,136.65,9.61,0,11.94,0,201.89,118.81,0,0,0,0.82,0,0,0,3.74,180.26,3.57,0,345.94,508.38,328.41,0,2.39,515.26,0,77.02,0,1415.35,49.12,114.16,642.92,2540.15,0,81.88,0,0
 24-34,0,0,0,18.08,264.89,7.59,22.82,0,63.89,1.85,449.78,19.16,0,0,0,5.49,1.14,0,3.07,23.94,308.58,5.31,0,467.07,628.13,35.6,2.88,0.82,0,0,135.98,0.98,4.49,16.14,36.07,109.1,4101.34,0,274.07,0,16.56
 36-46,0,0,0,0.84,113.71,1.13,26.63,1.97,70.03,22.11,380.04,4.92,0,0.99,1.72,0,0.57,1.19,8.64,20.97,441.73,10.21,18.14,324.86,681.83,35.92,10.67,0,0,2.32,220.87,0,2.07,4.47,2.48,2.83,5394.59,0,92.67,0,21.48
 48-58,0,0,0,0,74.72,0.43,131.36,0,90.91,24.14,357.83,1.68,0,0.48,1.12,5.32,1.27,5.6,6.16,18.11,442.76,5.26,37.55,236.77,624.84,9.91,1.61,1.7,0,0,176.29,0,0,7.68,0.37,0,5359.49,2.05,74.07,0.5,18.62
 60-70,0,0,0,0,70.89,0.95,71.52,0,83.91,19.38,394.29,2.03,0,0,0,1.99,0,2.86,0,7.36,388.48,7.84,61.86,152.98,285.79,6.25,0,1.08,0,2.4,197.94,0,0,17.29,2.83,0,2887.2,11.5,83.87,6.18,25.49
 72-82,0,0,0,0,50.48,2.07,80.34,1.88,71.08,69.58,433.08,8.78,0,0,3.06,0.83,4.49,4.14,0,10.66,366.55,4.76,68.28,159.75,339.42,6.31,0,0.56,1.13,6.22,138.48,0,0,9.51,0.52,0,1143.66,42.59,45.2,24.61,28.31
 84-94,0,0,1.82,0,114.09,0.65,73.45,0,122.48,45.85,443.62,9.06,0,0.97,0,0.95,19.77,4.89,7.22,27.96,318.46,10.76,87.18,152.57,235.48,14.54,0,0,0,4.14,402.41,0,0,1.28,2.07,0,907.45,33.49,35.34,50.31,43.98
 96-106,0,0,0,0,75.92,14.76,49.63,1.45,120.58,36.9,364.9,15.39,0,0.87,11.31,2.24,9.25,14.17,10.85,4.33,248.39,8.07,29.94,120.92,180.87,8.8,0,2.26,0,0.79,322.49,0,0,8.42,5.74,0,249.9,14.44,33.94,34.88,4.15
108-118,0,0,0.95,0,84.21,1.92,42.06,5.81,120.61,52.58,361.81,15.7,0,0,1.46,5,12.76,9.88,0,4.22,216.78,3.08,56.47,90.64,273.39,8.88,0,0,0,12.38,157.67,0,0,2.05,0,0,199.44,16.84,57.04,21.52,16.9
120,0,0,0,0,75.61,6.81,19.39,0,130.03,9.05,257.38,16.54,0,0,0,2.99,0,1.69,0,0,271.45,0,62.7,114.8,154.79,18.98,0,17.15,0,4.48,163.13,2.5,0,0,1.42,0,122.39,8.93,39.61,22.12,11.55
