stage,epidermis,eye,glial,neural
 24-34,0,0,0,3.12
 36-46,0,0,0,1.75
 48-58,0,0.55,0,0.4
 60-70,0,3.65,0,0
 72-82,0,0,0,0.75
108-118,0.43,0,2.85,1.86
120,0,0,0,8.38
