stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0.84,0,0,0
 24-34,0,0,0,0.91,0,0,0,0,0.71,0,2.35,0,0.9,0,0,3.45,0,0.66
 36-46,0,0,0,1.54,0,0,0,0,1.37,0,33.05,0.65,2.95,0,0,4.94,0,0
 48-58,0,0,0,6.32,0,0,0,2.78,0.43,0,5.96,0,0,0,0,1.21,0,0
 60-70,0,0,0,9.65,0.85,3.51,0,0,10.79,0,22.05,0,0,0,0,1.13,0,0
 72-82,0.62,0,1.86,0.58,0,0,0,1.31,3.39,4.36,33.47,0,0.9,2.66,0,5.16,0,0.72
 84-94,0,0,0,0,0,0,1.51,0,0.92,0.64,3.44,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,1.08,3.6
108-118,0,0.59,0,1.57,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0
120,0,0,0,16.1,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0
