stage,axial,blastomeres,epidermis,erythrocytes,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord
  3-4,9.61,60.15,0,0,0,0,0,0,0,0,0
  5-6,17.7,160.75,0,0,0,0,15.86,13.83,0,0,0
  7-9,0,0,0,0,0,0,33.13,21.56,0,0,0
 10-12,0,0,0,0,0,0,24.41,4.35,0,0,0
 14-21,0,0,2.64,2.57,3.83,7,0,0.93,3.63,2.61,0.81
 24-34,0,0,0.94,0,0,2.1,2.55,0,0,0,0
 36-46,0,0,0,0,1.35,0,0,0,0,0,0
 72-82,0,0,0,5.7,5.09,0,0,0,0,0,0
 84-94,0,0,0,0.81,4.28,0,0,0,0,0,0
 96-106,0,0,0,0,16.1,0,0,0,0,0,0
108-118,0,0,0.42,0,22.95,4.43,2.19,0,0,0,0
120,0,0,0,0,18.06,0,0,0,0,0,0
