stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,xanthophores
  7-9,0,3.95,0,0,0,0,3.27,0,0,0,0
 10-12,0,5.38,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.69,0,0,0,0
 24-34,0,0,0,0.92,0,0,5.5,0,0,0,0
 36-46,0,0.6,0,0,0,0,11.5,0,0.59,0.68,0
 48-58,0,0.56,0.48,0,0,0,10.81,1.03,1.08,0.97,0
 60-70,0,15.56,0.78,0,0,0,12.49,1.08,0,1.41,1.44
 72-82,1.76,7.1,0,0,0,0.52,14.8,0.58,0,0.57,0
 84-94,0,1.9,0,0,0,0,1.26,0,0,0,0
 96-106,0,0,4.93,0,0,0,1.82,0.59,0,0,0
108-118,0,0,0,0,0,0,0.96,0,0,0,0
120,0,2.18,2.25,0,6.84,0,12.39,0,0,0,0
