stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,3.4,0,0,0,0,0,0,0,0
 10-12,7.57,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.31,0,0,0,0,0,0,0,0
 14-21,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,38.2,0,0,2.42,0,0,0.84,0,18.05,0,0,0,0
 24-34,0,0,1.97,0,5.74,0,0,3.12,0,0,0.6,0,0,0,0,6.06,4.67,0,0,0,373.79,0.64,0,2.22,0,0,1.26,0,68.41,0,0,0,0
 36-46,0,0,0,0,9.34,0,0,1.82,0,0,0,0,0,0,0,52.61,0.82,0,0,0.97,615.18,0,1.12,3.73,0,0,0,0,122.56,0,0,0,0
 48-58,0,0,3.66,0,80.97,0,0,5.23,0,0,0.57,0,0,0,0,33.04,13.93,0.52,4.21,0.96,1070.84,0,2.41,11.56,0,0,0,0,91.76,0,0,0,0
 60-70,0,0,4.74,4.83,190.62,0,0,44.62,0,0,1.15,0,1.16,0,0,52.82,26.7,0,0,8.71,2096,0,1.88,1.58,0,0,4.5,0,169.54,0,0,0,2.79
 72-82,0,0.53,9.15,3.83,281.75,0,0,49.38,0,0,0,3.2,0,0,0,18.02,31.37,0,1.11,3.4,2554.59,0,0.54,5.29,0,0,1.8,0.64,141.6,0,4.61,0,6.04
 84-94,0,1.11,6.14,0,209.95,1.9,1.93,27.19,0,1.27,0.84,0,13.09,0,0,53.75,14.31,3.42,1.52,0,1401.27,0,0.78,14.42,0,0,0.95,0,76.69,0.56,1.49,3.37,0
 96-106,0,0.88,5.68,0,159.67,0,0,24.33,0,0,4.35,0,0,0,7.13,15.44,22.43,0,0,3.1,1368.37,0,2.73,3.23,0,0,11.86,0,30.97,0,0,0,3.58
108-118,0,3.05,8.71,0,209.45,4.16,0.64,14.1,0,8.2,1.79,1.01,0,0.43,0,61.61,30.97,0,0,0.88,1676.6,0.43,0,13.03,0,2.26,2.82,0.81,42.53,3.49,0,0,5.68
120,0,0,50.88,0,380.54,1.33,0,39,1.45,0,3.12,0,0,0,0,12.65,70,0,0,0,3996.95,4.31,0,20.4,0,0,3.17,0,78.02,13.52,4.29,0,0
