stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,17.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,14.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,4.36,0,0,0
 24-34,0,1.97,0,0.98,0,0,0,0,0,0,0,0,0,0,0,114.73,0,2.37,0,0,52.01,0,0,0
 36-46,0,1.16,0,3.68,0,0,0,0,0,0,0,0,0,0,0.56,337.06,0,0,0,0,75.94,0,0,0
 48-58,0,3.73,0,30.06,0.43,2.07,0,0,0,0,0,0,6.27,3.08,0,475.55,0.39,0,0,0,81.01,0,0,0.63
 60-70,0,0,4.76,154.76,0,6.64,0,0,0.72,0,0.66,0,4.62,0,0,858.17,0,0,0.69,8.71,146,0,0,0
 72-82,0,2.77,0,95.66,0,12.33,0.56,0,0,2.8,0,0,20.73,0,0,538.33,0,0,0.75,0,64.89,0,0,2.94
 84-94,0,1.79,0,114.85,0,5.04,0,1.02,0,0,0,0,9.92,0,0,418.66,0,0,0,0,45.53,0.9,0,0
 96-106,0,0,0,61.83,0,3.32,0,0,0,0,0,5.88,11.52,0,0.69,285.34,0,0,0,0,16.85,0,1,0
108-118,0,0.63,0,77.91,0,17.24,0,0,0,0,0,0,9.27,0,0.92,370.9,0,0,0,0,23.42,0.89,0,0
120,0,14.68,0,107.55,0,5.53,0,0,0,0,0,0,0,0,3.01,474.37,0,4.59,0,0,12.09,0,0,16.56
