stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,121.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.18,0,0,0,0,0,8.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.71,0,0,0,5.16,0,0,0,0,0,33.25,0,0,0,0,0,0,0,0,0,0,48.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.17,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0.92,0,3.01,0,0,0,1.08,0,0,0,0,0,0,0,0,11.22,0,0,2.24,35.73,0,0,0,0,0,0,1.04,2.01,0.87,1.02,35.77,0,0,0,0
 24-34,0,0,0,3.26,0,0,8.14,0,0.78,0,0,0,0,0,0,0,0,0,0,14.33,0,0,6.92,172.56,0.63,0,1.44,0,0,0,0,1.45,1.33,1.44,64.11,0,1.02,0,0
 36-46,0,0,0,0.73,0,0,27.14,0.61,3.56,0.72,7.44,0,0,0,0,0,0,0,0,13.24,0,0,6.37,225.2,1.29,0,0,0,0,0,0,3.59,0,0,43.21,0,0.91,0,0
 48-58,0,0,0,0.79,0.38,0,236.72,0,0,0,21.91,0,0,4.31,0,0,0,0,0,15.86,0,0.74,2.15,366.35,0,0.88,5.03,0,0,0,0,2.6,0,0,61.65,0,0,0,0
 60-70,0,0,0,2.17,0,0,1674.74,0,4.81,5.65,58.08,2.62,0,0,0,0,0,0,0,18.61,0,0,1.36,570.62,0,1.19,0,0,0,4.81,0,4.46,0,0,29.9,0.98,1.22,0,0
 72-82,0,0.5,0,17.42,1.7,0,4623.07,0,0.57,4.1,207.57,16.28,0,0,4.05,0,8.51,2.56,5.32,32.63,0,5.27,6.83,1036.17,0,1.48,0,0,0.87,0.78,0,0,0,0,72.45,0,4.37,2.14,8.94
 84-94,0,0,1,35.23,0,0.87,4176.96,0.98,2.37,10.67,201.44,12.68,0,0,0.78,0,0.9,0,0.96,46.2,0.57,1.06,0.65,709.28,0,1.41,0.83,0,0,4.06,0,1.7,0,0,84.82,0,4.19,3.61,18.88
 96-106,0,0.91,0,19.42,8.56,0,5895.5,0.94,1.1,2.93,325.47,22.2,0,2.11,0.7,0.64,1.2,0,11.84,40.89,1.44,1.11,0,750.13,0.82,0.85,0.8,0,11.02,2.19,0,1.55,0,0,36.48,2.03,3.18,2.81,14.07
108-118,0,0,0,14.99,1.94,0.5,5313.66,0,0,0.57,281.32,18.71,0,0.74,3.97,0,1.07,2.43,1.48,36.3,0,0,1.5,1225.49,0,2.05,11.49,0,2.05,1.63,0,1.97,0,0,46.19,0,0.78,1.23,0
120,0,0,0,20.84,0,0,2010.87,1.99,1.78,4.41,295.36,19.81,0,0,1.01,0,0,0,0,24.1,0,0,0,1411.23,1.33,0,10.01,0,0,1.42,0,0,0,0,33.04,0,0,0,8.94
