stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,113.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.03,7.47,0,4.8,0,0,15.76,0,0,0,5,0,0,0,0,0,0,0,155.84,9.04,0,0,47.33,0,0,0,0,0,0,0
 10-12,0,18.73,0,36.56,0,0,17.15,0,0,0,0,0,0,0,0,0,0,0,291.97,28.27,0,0,70.47,0,3.49,0,0,0,0,0
 14-21,0,0,1.11,0.87,3.38,5.41,0.81,0,103.93,0,0,0,0,0,0,6.37,0,3.98,136.92,7.3,1.37,3.6,0.87,5.5,17.17,5.89,608.27,0,0,0
 24-34,0,0,0.75,0,2.63,0,2.91,2.55,111.02,2.1,0,0,0,0,0,3.43,0,2.32,87.97,0.75,14.37,2.37,0,0,5.98,9,517.64,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,85.55,0.67,0,0,0,0,0,0.71,0,4.48,41.61,0.59,23.67,0,0,0,7.42,0,243.83,0,0.62,0
 48-58,0,0,0,0,0,0,6.84,1.71,89.73,0,0,0,0,0,0,14.57,0,0,37.12,0,7.7,1.22,0,0,2.05,0,203.73,0,0,0
 60-70,0,0,0,0,0,0,4.06,0.9,106.86,0,0,0,0.69,0,0,1.47,0,0,18.48,0,5.24,0.63,0,0,1.54,0,167.58,0,0,1.46
 72-82,0,0,0.62,0,0,0,1.46,1.29,157.28,0,0,0,0,0,0,6.7,0,1.55,13.99,0,11.28,3.4,0,0,1.63,0,113.48,0,0,0
 84-94,0,0,0.7,0,0,0,8.81,0.74,126.15,0,0,0,2.69,0,0,2.42,0.93,0,13.75,0,11.87,0.94,0,0,4.86,0,119.22,0,0,0
 96-106,0,0,0,0,0,2.78,20.17,0,121.42,0,0,0,1.24,5.57,0,3.7,0,1.65,16.4,0,18.65,3.44,0,0,3.77,0,90.39,1.82,0,0
108-118,0,0,0,0,2.39,2.41,1.82,0,129.63,0.71,0,0.54,2.99,0,0.52,7.1,1.9,1.31,37.25,0,4.09,1.66,0,0,5.48,0,78.65,0,0,0
120,0,0,0,0,0,0,7.84,0,99.86,0,0,0,0,0,0,24.37,0,0,78.7,0,9.5,7.04,0,0,2.12,0,69.97,0,0,0
