stage,blastomeres,endoderm,eye,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  5-6,19.5,0,0,0,0,0,0
  7-9,0,9.29,0,0,8.44,0,0
 10-12,0,0,4.51,0,16.88,11.15,0
 24-34,0,0,0,0,0,0,0.99
 36-46,0,0,0.75,0,0,0,0
 48-58,0,0,0.38,0.49,6.25,0,0
 60-70,0,0,0,0,6.79,0,5.77
 72-82,0,0,0,0.59,0,0,0
108-118,0,0,0,0,1.44,0,0
120,0,0,0,2.5,0,0,0
