stage,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0
  7-9,4.55,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0
 10-12,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,18.1,2.29,0,0,0,0,0,0,0,0,1.15,0,3.1,0,0,1.14,1.14,4.24,0
 24-34,0,0,0,5.17,0,0,7.8,0.83,0,0,0,4.81,0,0,0,0,0,2.62,0
 36-46,0,0,0,5.95,0,0,37.83,0,0,1.33,0,10.54,0,0,0,0,0,11.75,0
 48-58,0,0,0,14.45,0,0,75.47,0,3.79,3.61,0,14.15,0,0,0,0,0,12.99,0
 60-70,0,0,0,34.29,0.8,0,133.37,0,1.19,3.28,0,20.51,0,0,10.81,0,0,6.93,0
 72-82,0,0,0,24.44,0,0,132.41,0,1.73,11.88,0,18.4,0,0,4.71,0,0,61.12,1.74
 84-94,0,4.57,0,38.74,0,1.51,155.17,0,0,5.72,0,44.73,0,0,0,0,0,10.59,0
 96-106,0,0,0,23.9,2.69,0,198.85,0,0.89,6.48,0,32.99,0,0,0,0,0,60.86,0
108-118,0,0,0.56,43.22,0,0,150.23,0,0,4.12,0.7,21.9,0,0,0,0,0,20.97,0.74
120,0,0,1.71,19.61,0,0,221.79,0,0,0,0,53.55,0,0,0,0,0,21.16,0
