stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pronephros,spinal.cord,xanthophores
  5-6,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,26.01,0,0,9.21,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.47,3.71,0,4.14,0,0,0
 14-21,0,2.55,0.85,0,0,0,0,0,0,0,0.83,0,0,0,0.85,0
 24-34,0,0,0,1.43,0,0,0,0,0,0.77,0,0,0,0,1.89,0
 36-46,0,0,0.77,1.3,0,0,0,0,0,5.19,0.57,0,0,0,0,0
 48-58,0,0,1.88,0,0,0,0,0,0,0.71,0,0,0,0,0,0
 60-70,0,0,2.71,2.86,0,0,0,0,0.66,0,0,0,0,0,0,0
 72-82,0,0,6.74,11.95,0.61,0,0,0,0,2.73,0,0,0,0,0,0
 84-94,0,1.53,0.62,0.99,1.4,0,0,0,0,4.46,0.57,0,0,1.37,0,0.66
 96-106,0,8.07,1.63,3.76,1.68,0,0,0,0,2.73,0,0,0,0,0,0
108-118,0,11.56,0.69,3.77,1.94,2.04,0.45,1.51,0,0.46,0,1.21,0,0.42,2.47,0
120,0,3.13,0,35.52,0,0,0,0,2.18,2.04,0,0,0,0,0,0
