stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.93,0,12.03,0,0,0,86.96,0,0,0,0,0,15.61,0,0,0,0,0,0,0,0,0,0,397.01,10.69,0,118.73,0,0,7.71,0,0,0,0,0,0,0,0
 10-12,9.31,0,42.58,0,6.18,0,58.65,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,754.5,45.96,0,370.8,0,0,10.78,0,73.77,0,0,9.81,0,0,0
 14-21,0,0,2.74,21.17,18.93,0,23.17,0,0,0,12.18,1.82,2.12,0,0,0,0,0,0,0,11.13,0,21.06,286.43,0.87,1.09,5.1,0,1.01,0.9,28.15,1.73,1.67,47.42,65.96,0,0.9,0
 24-34,0,0,0,14.22,1.38,0,42.58,0.75,0,0,14.38,0.91,0,2.94,0.71,0,0.63,0.97,0,0.98,39.72,0,18.18,417.89,8.6,2.92,0,0,0,0,0,0.69,2.57,5.96,104.18,0,9.22,0
 36-46,0,0,0,0.72,0,0,31.32,2.07,0,0,0.65,0,0,1.43,0,0,0,0.77,1.94,0,33.75,0,15.83,233.09,1.2,6.21,0,0,0,0,0,5.51,0,1.34,86.83,0,6.69,1.45
 48-58,0,0,0,3.1,0,0,24.7,1.85,5.35,4.04,13.31,0,0,1.71,0,0,1.25,0.5,0,0.59,27.81,0,15.17,213.95,3.91,2.08,0,0,0.68,0,0,0,4.01,0,36.51,0,10.12,0
 60-70,0,0,0,1.53,0,0,47.55,6.38,0,0,6.12,0,0,0.92,0,0,0,0,0,0,46.53,0.95,8.62,297.63,1.1,2.74,0,0,0,0,0,0,0,0,52.4,0,6.38,0
 72-82,0,0,0,0,5.84,0,49.76,0,0,3.64,27.09,1.44,0,2.63,0,0,0,0,6.15,0,49.45,1.08,2.73,282.03,1,2.29,0,2.75,0.57,0,0,0,0,0,43.44,0,9.88,0
 84-94,0,0,0,13.3,1.61,0,48.28,0,0,0.89,8.34,0,0,1.66,0,0,0,0,0,0,41.61,0,7.41,235.74,0.65,2.85,0,0,0.95,0,0,0.9,0,0,28.69,0.71,4.07,0
 96-106,0,2.46,0,3.12,1.58,0,34.83,0,0,0.62,46.7,1.47,0,1.87,1.65,0,0,0.68,0,0.71,39.23,5.65,0.58,159.59,2.63,0,1.2,4.88,4.75,0,0,0,0,0,16.4,2.45,10.39,3.46
108-118,0,0,0,0.53,0,5.17,31.75,0,0,1.3,30.34,0,0,0.61,0,0.74,1.02,0,0.44,0,54.49,5.01,5.98,172.03,0.85,3.55,0,8.73,6.3,0,0,0.62,0,0,9.79,0.63,5.13,0
120,0,0,0,0,1.68,1.14,28.58,0,0,0,89.69,1.92,0,0,0,0,0,0,0,0,16.14,8.42,1.24,325.15,0,1.12,0,0,0,0,0,0,0,0,19.45,0,5.29,0
