stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,45.07,27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,0,16.76,0,0,0,0,0,0,0,0
 10-12,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,13.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.82,0,2.58,0,0,0,1.33,0,1.74,0,0,9.74,0,0,0,1.45,15.98,3.8,0,0,0.97,0,10.64,0,9.47,13.37,18.03,0,0
 24-34,0,0,0.64,0,3.65,0,1.38,0,0,1.44,0.89,0,0,0,0,19.98,0,0.84,1.79,6.23,20.44,0,1.44,1.39,0,0,0,2,3.47,7.98,11.23,10.3,0
 36-46,0,0,0,0,0,0,2.86,3.41,0,0,0,0,0,0.88,0,9.89,0,2.59,10.22,1.49,40.71,0,0,0,0,0,0,0.56,2.13,0,4.53,2.07,0
 48-58,0,0,0,0,0,0,12.91,1.34,0,0,5.88,0,0,0,0,1.3,0.39,3.7,1.56,0.46,38.29,0,0,1.77,0,0,0,0,1.27,0,6.32,3.28,0.86
 60-70,0,0,0,0,0.64,0,10.01,0,0,0,7.46,0,0,0,0,1.47,0,4.06,2.12,0.89,35.71,0,0,1.31,0,1.14,0,1.35,0,0,9.28,3.52,6.79
 72-82,0,0,0,0,0,0,5.01,4.87,4.56,0,0,0,0,0,0,4.72,0,1.1,2.01,2.82,9.77,0,0,3.24,0,0,0,0,0,0,4.79,1.96,0
 84-94,0,0,0,1.47,0,0,1.94,1.38,0.58,1.45,0.97,0,3.67,0,4.92,5.03,6.65,5.25,1.26,0,13.53,0,0,2.89,0,1.42,0,0,0.58,0,0,6.87,0
 96-106,0,0,0,0,0,0,8.01,0.93,0,0,0,0.68,0,0,3.51,11.57,1.02,2.28,0,0,8.67,0,0,1.27,0,0,0,0,0.72,0,0,3.88,0
108-118,0,0,0,0.42,0,4.13,5.64,0,0,0.58,0,0.59,0,0.8,6.65,7.11,2.06,0,3.79,0.59,15.34,0,0,1.13,0,1.02,0,0,1.09,0,0,1.57,0
120,0,0,0,0,11.24,0,0,2.31,4.54,0,13.53,0,0,0,0,16.89,1.05,3.85,0,12.35,14.27,0,0,3.98,0,0,0,0,0,0,0,0,0
