stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,3.26,0,0,0,0,24.46,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0.74,1.24,41.53,0,0,0,0,78.97,0,0,0,0,0
 36-46,0,0,10.09,0,0,1.86,3.44,0,0,0,0,0,8.93,4.24,3.96,177.75,0,0,0,3.76,79.67,0,0,0,0,0
 48-58,0,0,3.69,2,0,31.66,1.82,0.85,0.65,0.54,0,0,0.41,28.59,2.67,505.9,0,0.52,2.93,0,92.65,0,0,0,0,0
 60-70,0,0,0,0,0,74.96,0,0.6,10.94,0,1.86,0,0,27.86,1.66,390.73,0,0,1.48,3.99,141.76,0,0,0,0,10.91
 72-82,0,0,2.36,0,0,90,0,0,20.96,0,0,1.04,1.07,36.05,1.41,211.03,0,0,0,0,68.14,1.21,0,3.49,0.84,0
 84-94,0,0,7.15,0,0,61.63,0,0,43.17,0,0,0,0,13.61,3.73,202.23,0,0,0.67,0,32.05,0,0,0,0,0
 96-106,0,0,4.66,0,0,73.51,0.58,0.6,61.3,0,0,0.95,0,28.91,0,67.52,4.18,0,0,0,16.97,0,1.89,0,0,0
108-118,0,0,3.87,0,0,64.16,0,0.58,46.98,0,0,0,0.7,12.43,2.26,159.52,0,0,0,0,17.78,0,1.19,0,0,0
120,0,0,6.7,0,3.69,118.64,0,0,65.67,0,0,0,0,22.66,1.56,314.67,0,0,0,0,11.5,0,0,0,0,0
