stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.71,0,0,0,38.23,0,0,0,0,0,0,0,0
 14-21,0,0,13.36,0,0,0.87,0,0,0,0,0,3.72,0,1.8,0,0.86,0,0,16.04,0,0,49.59,10.73,29.8,0.99,0,0
 24-34,0,0,0,0,0,0,0,0,0.68,0,0,3.23,0,2.91,2.24,0,0,0,0,0,0,0,0,7.74,0,0,0
 36-46,0,0,0,2.55,4.05,0,0,1.64,0,0,0,0,0,2.01,1.92,0,0.89,0,0,0,0,0,0,1.4,0.85,0,0
 48-58,0,0,0,18.09,6.89,5.35,3.5,0.67,0,0.63,0,2.51,0,8.37,8.3,1.04,0,0,0,0,0,0,0,0,0.81,0,0
 60-70,0,0,0,7.54,10.6,0,1.23,0.58,0,0.78,0,9.62,0.7,4.9,4.85,0,0,0,0,0,0,0,3.17,0,1.78,21.14,2.68
 72-82,0,0,0,2.41,25.07,0,4.76,2.79,0.74,0,0,20.98,10.26,3.19,15.11,0,0,0.97,1.13,0,0.96,0,1.4,0,0,9.78,21.05
 84-94,0,1,0.73,7.1,38.2,0,7.97,3.42,0,0,1.22,30.86,4.98,10.15,22.69,0,0,13.42,0,0,0,0,3.1,0,4.17,27.82,25.73
 96-106,0,0,1.46,9.67,58.28,3.86,2.78,0,0,0.62,2.16,29.61,7.23,14.89,19.57,0,0,6.43,0,1.32,0,0,4.52,0,0,34.57,60.33
108-118,0,0,1.09,0.56,65.96,0,5.58,2.1,0.62,2.89,1.13,14.23,7.25,25.14,16.55,0,0,17.68,0,1.82,2.2,0,0,0,0,26.67,23.88
120,0,0,1.2,2.43,73.59,0,3.58,0,0,0,0,18.07,0,10.07,27.22,0,0,8.45,0,0,0,0,1.21,0,0,8.52,35.99
