stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.82,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,2.73,0,0,0,0,0,3.44,0,0
 24-34,0,1.97,0,0,0,0,0,0,0,0,0,0,93.25,0.7,2.12,0,0,0,0,1.54,17.26,0,0
 36-46,0,2.85,0,0,1.36,0,0,0,0,0,0,0.6,250.11,0,0,0,0,0,0,0,32.19,0,0
 48-58,0,0,0,0,16.36,0,0.42,1.4,0,0,1.36,0,309.52,0,0,0,0,3.93,0,1.57,9.69,0,0
 60-70,0,1.52,0,0,35.64,0,0,5.56,0,0,0.87,0,300.1,0,0,0,0,0,0,2.16,24.53,0,0
 72-82,0,1.04,0,0,49.95,0,3.99,3.2,1.27,0,3.22,0,388.01,0,0,1.58,0,6.94,0,1.5,18.85,1.11,0
 84-94,0,0.7,0,0,72.82,0,1.31,2.04,1.42,0,0,3.03,322.15,0,0,0,0,2.68,0,0.57,7.54,0,0
 96-106,0,0.61,0.59,0,99.99,1.43,0,1.31,4.24,0,0.78,0,394.5,0,0,0.79,0,2.09,0,5.33,4.19,0,1.72
108-118,0,2.14,2.33,1.04,83.52,0,0,13.61,0.64,0.52,2.84,0,344.91,0,1.12,0,0,0,3.76,4.25,3.7,0,0
120,0,2.14,2.55,0,91.06,0,0,6.25,0,0,6.78,0,655.28,0,0,7.82,0,0,0,1.22,18.15,8.64,0
