stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,liver,mucous,neural,olfactory,paraxial.mesoderm,periderm,taste
  5-6,38.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.54,0,3.03,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0
 48-58,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
 72-82,0,0,24.2,0.79,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,14.46,0,0,1.16,0,0,0,0,0.93,0,0,0,1.29
 96-106,0,0,59.9,0.62,0,19.1,0,1.88,0,0,0,0.6,0,0,0
108-118,0,0,75.94,0.95,0,9.09,0.54,1.7,2.21,3.18,0,0,0,0,1.28
120,0,0,99.02,0,8.22,1.65,0,0,0,0,14.14,0,0,2.9,0
