stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0
 14-21,0,0,1.93,0,0,0,0,0,0,0,0,0,0,0.83,0,0.96,5.91,0,0,0,1.64,0,2.82
 24-34,0,0.64,0,0,0,0,0,0,0.86,0,0,0,0,1.55,0,0,10.34,2.1,0,0.99,0,0,2.46
 36-46,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,2.41,0,0.65,0
 48-58,0,0,0,3.47,0,0.42,0.75,0,0,0,0,0,0,0,0,0,10.92,0,0,4.76,0,0,4.02
 60-70,0,0,0,6.03,0,0,0,0,0,0,0,0,0,1.15,0,0,6.86,0,0,9.55,0,0,0
 72-82,0,0.66,0,1.96,0,0,0.71,0,0,0,0,0,0,0,0,0,6.65,1.09,0,3.21,0,0,0
 84-94,0,2.52,0,8.88,0,0,2.64,0.76,0,0,0,0,0,0,0.57,0,3.28,0,0,62.29,0,0,2.06
 96-106,0,4.3,4,0.62,0,0,2.91,0,0.97,0,1.1,0,0,0,0,0,4.33,0,0,57.97,0,0,0
108-118,0,1.88,0,1.75,1.22,0,0.78,0,0,0.78,1.05,4.04,0.43,0,1.06,0.7,10.71,0,1.37,57.61,0,0,0
120,0,10.33,0,5.96,1.09,0,4.85,2.82,0,0,0,0,0,0,1.47,0,0,0,0,68.38,0,0,0
