stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,132.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.08,0,0,13.34,0,0,0,0,0,32.35,0,4.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,19.65,0,0,0,5.33,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0.88,0
 24-34,0,0,0,0,0,0,0,0,0,22.56,1.28,0,0,0,0,0
 36-46,0,0,0,1.46,0,0,0,0,0,20.92,0,0,0,0,0,0
 48-58,0,0,0.38,7.51,0,2.79,5.32,0,0,12.74,0,0,0,0,1.14,6.12
 60-70,0,0,0,17.02,0.87,0,0,0,0,13.12,0.77,0,0,0,1.99,0
 72-82,0,0,0,18.53,1.72,0,0,0,4.27,6.4,0,0,0,0,0,0
 84-94,0,0.81,0,3.71,0,0,0,0,0,0,0,0,0.61,0,0,0
 96-106,0,0,0,8.34,1.69,0,0,0,0.73,4.2,0,0,0,0,0,0
108-118,0,0,0,10.69,0.54,0,0,0.49,0,1.61,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,9.26,10.5,2.92,0,0,0,0,0
