stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,12.33,5.76,0.89,0,0,0,11.12,0,0,0,0,0,0,3.85,0,0,1,24.65,13.33,0,129.17,0,119.92,22.71,0,169.16,363.13,0,0,0,0,0
 24-34,0,1.41,6.12,5.35,0,3.49,22.59,69.37,1.42,0,0,0,0,0,66.06,0,0,121.82,54.96,12.57,0,0,0,1.04,1.64,11.73,403.14,432.98,0,0,5.72,0,0
 36-46,0,0,0,3.3,0,16.68,61.25,36.1,0,0,0,0,0,3.65,134.01,0,0,187.46,60.48,0,0,0,2.56,1.71,0,6.94,0,508.46,0,0,16.36,0,0.95
 48-58,0,5.84,0,6.97,0.46,0,57.24,49.41,0.4,0,0,0,0.44,1.88,98.05,0,0,98.62,71.76,0,0,0,0.4,3.76,0,0.82,0,631.91,0,0,4.45,0,5.92
 60-70,0,0,0,9.44,2.58,3.8,60.66,44.16,0,5.85,0,0,0,4,57.38,0,0,48.74,122.24,0,1.23,0,1.1,0,0,1.26,0,1003.97,0,0,3.78,0,1.44
 72-82,0,0.88,0,21.55,0.51,7.37,82.11,115.58,1.19,0.59,0.89,0,0,2.53,80.09,0.74,0,31.74,120.31,6,0,0,1.41,0,0,1.07,0,970.24,4.85,0,2.26,0,0
 84-94,0,4.5,3.06,58,0.77,0,33.18,64.1,0,0,0,4.06,0,5.1,70.02,0,1.32,28.78,98.26,0,0,0,0,0,0,0,0,706.05,0,0,0.91,1.71,0
 96-106,0,0,0,8.24,0.92,0,56.82,68.2,0,0,0.65,0,0,0,42.59,0,0,17.06,161.03,0.81,0,0,1.88,0,0,0,0,222.88,0,0,4.37,0,7.21
108-118,0,1.74,1.83,5.18,0.56,0,13.24,51.72,0,0,0,0,0,1.65,30.96,0,0,18.65,77.75,0.77,0,0,0,0,0,1.44,0,134.4,0,1.19,1.32,0,0.83
120,0,0,0,5.24,0,0,23.96,47.87,0,1.18,0,0,0,0,30.46,0,0,5.2,59.32,0,0,0,3.09,0,0,0,0,68.06,0,0,0,0,0
