stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,xanthophores
  5-6,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.82,0,0,0,0,0,4.35,0,0,0,0,0,52.31,0,0,15.24,0,0,0,0,0,0,0,0
 10-12,0,0,15.41,0,3.9,0,0,0,0,0,0,0,0,34.9,0,0,17.87,0,0,0,8.85,0,0,0,0
 14-21,0,0,0.91,0,0,1.22,0,0,0,0,0,0,0,12.31,0,1.2,0,0,0,1.26,0,0.9,5.02,0,0
 24-34,0,0,0,0,0,11.35,0,0,0,0,0,0.65,0.6,60.49,0.72,0,0,0,0,0,0,0,14.45,0,0
 36-46,0,0,0,0,2.27,30.54,0,0,0,0,0,0.59,0,168.3,2.5,0,0,0,0,0,0,0,69.26,0,0
 48-58,0,0,0,0,17.63,58.03,0,0,0,7.83,0,0.53,0,325.48,0.56,0,0,0,0,0,0.73,0,102.43,0,0
 60-70,0,0,0,0,101.2,88.65,1.84,0,0,0,0,0.87,0,375.51,0,0.83,0,0,0,0,0,0,77.91,0,0
 72-82,0,0,0,0.74,84.86,97.17,5.58,0,0,0,0,0.55,0,275.14,0,0,0,1.12,1.31,0,0,0,50.81,0.87,18.93
 84-94,0,0,0,1.38,90.08,106.38,11.63,0,0,0,0,3,0.71,255.84,0,2.5,0,0,1.3,0,0,0,24.67,0,0
 96-106,0,0,0,0.89,57.07,58.89,6.44,0,0,0,1.09,1.84,1.65,234.12,3.43,0,0,1.17,0,0,0,0,24.59,0,0
108-118,0,0,0,1.65,73.41,78.11,7.71,0,0,0,0,0.95,0,242.16,0,0,0,0,2.89,0,0,0,31.04,0,0
120,0,0,0,3.57,45.17,94.39,7.5,0,1.11,0,0,0,0,315.17,0,0,0,0,0,0,1.13,0,22.96,0,0
