stage,blastomeres,endoderm,erythrocytes,eye,fast_muscle,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,129.07,0,0,0,0,0,0,0,0,19.65,0,0,0,0,0
  7-9,18.1,3.99,0,0,0,0,5.49,0,0,122.03,3.49,49.05,0,0,0
 10-12,3.43,0,0,23.59,0,0,0,0,0,110.86,0,20.08,4.61,14.26,0
 14-21,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,1.15
 24-34,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.66,0.97,0,0,0,0,0
 48-58,0,0,0,0,0,3.27,0,0.71,0,0,0,0,0,0,0
 60-70,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.75,0,0,1.3,0,0,0,0,0,0,0
 84-94,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.2,7.44,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0,0
