stage,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,27.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,135.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.33,3.38,6.55,5.01,159.57,9.04,86.04,7.58,0,0,0,0
 10-12,19.49,17.04,3.4,4.32,205.27,0,68.38,0,4.19,7.85,9.66,9.81
