stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0.8,0,0,2.73,1.78,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.71,0,0,0,2.62,0,0,0,0,0,1.15,0,20.97,0,0,1.37,5.02,0.4,0,0,0,0,0,0.44,0,0,0,0,0
 60-70,0,1.31,0,3.45,0,1.31,0,1.93,0,0,0,0,0,1.5,0,477.26,0,0,1.69,6.18,2.11,0,0.91,0,0,0,4.71,0,0,0,2.15,0
 72-82,0,7.64,1.73,48.67,0,0,4.43,2.91,0,1.49,0,0.61,0,4.41,0,2112.25,0,0,1.61,30.36,2.48,0,0.61,0,0,2.8,2.45,0,4.57,1.62,0,0
 84-94,0,5.62,1.6,29.97,0,0,0,7.22,0.8,0,0,0,0,2.51,0,2071.62,1.81,1.96,2.41,18.83,0.57,0,1.22,0,1.19,0,3.36,0,2.08,0,2.99,0
 96-106,2.32,15.34,0,18.37,0.67,2.48,2.33,4.99,2.54,0,5.58,0,0,10.11,9.15,1459.07,0,3.39,6.09,25.98,0,2.5,2.51,0,4.16,0,3.96,0,0,3.91,3.52,2.89
108-118,0,7.14,0,22.41,0,0,0,0,0.56,0,0,0,2.31,4.25,3.18,1277.87,0,0,3.15,37.5,3.9,0,0,1.05,0,0,0,2.31,0.66,6.87,0,1.7
120,0,27.91,0,24.73,0,0,32.21,0,4.4,0,0,0,0,1.12,0,1078.18,0,6.94,4.89,16.99,6.04,0,1.86,0,0,0,0,0,0,19.64,0,0
