stage,blastomeres,epidermis,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,90.51,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0
  5-6,87.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.13,0,0,0,0,0,0,0,15.01,0,0,3.35,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.43,0,0,4.32,0,0,0,0,0
 14-21,0,2.58,0,0,0,0,0,0.93,3.73,0,0,0.84,0,1.29,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.25,0.64,0,0,0,0,0,0,1.53
 36-46,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,3.2,0.72
 48-58,0,0,0.79,5.35,0,0,0.41,0,2.09,0,0,0,0,0,0,0.48,0
 60-70,0,0,0,0,0,0,0,2.21,2.84,0,0,0,0,0,0,2.81,0
 72-82,0,0,0.69,0,0,0,2.58,0,5.75,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0
 96-106,0,0,6.27,0,0,0,5.36,0,9.19,0,1.34,0,0,0,0,0,0
108-118,0,0,2.59,0,0.62,0.51,3.3,0,8.38,0,0,0,0,0,0,0,6.49
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0
