stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,46.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.76,0,0,0,8.72,0,0,0,0,0,0
 10-12,0,0,16.15,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,9.02,0,0,0,22.52,0,0,0,0,0,0
 14-21,0,0,1.01,4.22,0,0.99,0,0,0,0,0,0,0,0,0.83,0,0,0,9.14,0.88,0,0,0,0,0.93,1.13,7.48,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0.6,0,0,0.65,31.58,0.7,1.62,0,0,0,0,0,7.07,0,0
 36-46,0,0,0,0,0,4.3,0,0,0,1.56,0,0,0,1.19,3.27,0,0,0,15.01,1.28,0,0,0,0,0,0,8.32,0,0
 48-58,0,0,0,1.06,0,3.31,0,0,0.4,0.83,1.77,0,0.52,0,6.12,0,0,0,34.46,0,0,0,0,0.59,0,0,0,0,0
 60-70,0,0,0,0,0,12.27,0,0,0,5.57,0,0,0,0.61,1.08,0,0,0,46.34,1.76,0,0,0,0,0,0,2.97,0,0
 72-82,0,0,0,0,1.41,16.53,0,0,0,1.57,0,0,0,0,7.89,0,0,0,42.74,0,0,0.49,0,0,0,0,0,0,0.93
 84-94,0,0,0,4.46,0,6.61,7.47,0.74,0,0,0,0,1,0,23.6,3.28,0.63,0,7.44,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.54,0,0,0.72,0,0,0,0,0,2.71,0,0.8,0,11.05,0,0,0,0,1.18,0,0,0,0,0
108-118,0,0.71,0,0,0.64,15.15,0.46,0,0,1.41,0,0,0.5,0,13.29,0,0,0.73,12.48,0,0,0,0,0,0,0,0,1.64,0
120,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,5.55,0,0,0,25.48,0,0,1.47,0,0,0,0,0,1.84,0
