stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,27.9,236.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.52,1245.12,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0
  7-9,26.1,17.35,0,25.02,0,0,0,78.67,0,0,0,0,0,27.23,0,0,0,0,0,0,0,0,0,0,647.02,51.9,0,0,237.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,36.94,0,0,0,46.22,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,368.37,0,0,0,72.34,0,0,0,5.27,0,0,0,0,0,0
 14-21,0,0,0,1.03,28.26,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,5.97,0,0,2.85,48.63,0.82,0,0,5.57,5.69,1.38,15.64,0.91,0,27.23,16.33,0,0,0
 24-34,0,0,0.62,2.17,6.95,0,0,28.78,0.88,0.61,0,1.55,0,0,0.69,0,1,1.12,0.6,0,19.98,3.03,0.89,7.74,164.57,1.5,5.36,0.84,0,28.57,0,0,0,1.4,1.86,42.08,0,20.62,0
 36-46,0,0,0,0,34.99,2.53,0,40.35,6.93,15.31,0,15.43,0.72,8.29,0,0,1.02,2.04,1.97,0,20.18,0,0,2.07,185.42,8.17,2.42,9.75,0,288.94,0,0,0,6.3,0,16.98,0,3.4,0
 48-58,0,0,0,0,60.09,3.46,0,61.48,6.79,3.53,8.17,13.31,2.57,0,0,0,19.16,0,0,0,27.02,4.46,0,3.48,227.7,22.12,1.7,0,0,158.93,0,0,0,2.26,0,29.26,0,14.36,5.87
 60-70,0,0,0,0,23.57,0,0,89.14,0.56,0,2.54,15.85,0,0,0,0,0,0,0,10.82,37.51,0,2.35,0,110.34,4.78,0.83,2.14,0,34.71,0,0,0,4.37,0,2.46,0,15.35,0
 72-82,0,0,0.58,0,9.4,0.71,0,13.13,0,0,1.51,8.06,0,0,0,0.83,0,2.78,3.56,0,34.14,0,0,2.58,63.69,0,0,0.75,0,7.78,0,0,0,1.69,0,5.22,0,1.93,0
 84-94,0,0,0,0,2.88,0,0,7.93,0,0.86,0,0,0,0,0,0,0.65,0,0,0,3.18,2.18,0,0.56,9.84,2.69,0,0,0,25.86,0,0,0,0,0,0,0,2.06,0
 96-106,0,0,0,0,1.02,0,0,2.12,0,0.57,0,6.29,0,0,0,0,0,0,0,0,14.39,0,0,7.93,3.11,0,0,0.77,0,12.16,0,0,0,0,0,0,1.08,2.75,0
108-118,0,0,0.83,0,5.3,1.44,0.58,7.92,0,0.99,1.02,2.54,0,0,0,0.48,0.42,0,0,0,23.59,0,0,0,2.02,0,0,0,0,4.36,0,0,0.99,0,0,0,0,1.09,2.22
120,0,0,0,0,19.54,0,0,0,0,2.96,3.26,0,0,0,0,0,1.76,0,5.66,3.24,64.6,0,0,3.76,27.5,0,0,0,0,40.21,0,0,1.83,0,0,0,0,4.37,0
