stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.99,554.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.57,0,0,0,0,0,0,0,0,0,0
  5-6,32.98,189.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.74,16.98,0,42.37,0,0,0,24.4,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,246.55,18.86,0,0,145.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.79,0,41.26,0,0,0,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.82,25.17,0,0,280.77,0,0,0,56.09,0,8.71,0,0,0,0,0,0
 14-21,0,0,1.09,0.81,80.07,15.6,0,8.58,0,0,0,8.42,2.42,0,0,2.81,0.99,0,0.93,0,28.3,0,0,11.35,121.66,6.47,0,0.8,1.85,0,7.41,58.16,16.38,3.11,23.88,60.66,0,0,7.56,0,0
 24-34,0,0,1.22,0.86,25.48,2.47,0,12.39,0,0,0.62,17.9,8.04,0,0.69,12.32,0.71,0,1.12,1.27,24.59,0,0,15.72,102.75,0,3.52,5.32,0,0,0,0,15.77,0,10.19,61.89,0,0,42.11,0,0
 36-46,0,0,0,0,3.81,1.13,0,10.99,0,0,0.73,8.14,0,0,0,19.54,0,0,0,0,10.11,0,0,4.42,72.09,0,0,1.56,0,0,0,0,12.49,0,0,31.86,0,0,14.86,0,0
 48-58,0,0,0,0,1,0.38,0,14.02,0,0.42,0,4.77,3.52,0,1.99,35.54,0,0,0.51,2.35,23.8,0,0,5.82,39.62,0,0.82,1.22,0,0,0,0,3.82,0,0,8.13,0,0.4,4.05,0,0
 60-70,0,0,0,0,5.42,0.82,0,14.9,0,0,0,5.91,0.62,0,0,68.73,0.56,0,0,0,25.88,0,1.94,2.61,18.84,0,3.88,1.49,0,0,1.49,0,3.57,0,0,4.35,0,0,2.75,0,0
 72-82,0,0,0,0,5.39,1.25,0,9.27,0,0.55,2.25,6.13,1.44,0.65,1.12,57.85,1.33,2.49,0.86,5.17,32.29,0,0,5.14,17.53,0,2.01,0.53,0,0,0,0,0,0,0,2.78,0,0,16.75,0,0
 84-94,0,0,0.56,0,6.47,2.15,0,20.39,0,0.58,2.76,4.16,1.47,0,0,91.69,2.48,0,0,1.16,27.52,0.65,1.44,4.44,13.7,0,0.86,0,0,0,0,0,3.9,0,0,20.1,0,0,6.77,2.65,0
 96-106,0,0,0,0,10.02,1.67,0,6.22,0,0,0,3.58,10.04,0,0,92.59,2.21,0,1.34,2.95,31.91,0,2.55,3.99,7.24,0,8.96,2.92,0,1.37,2.5,0,4.89,0,0,0,0,0,5.79,1.5,0
108-118,0,0,0.76,0,11.48,3.8,3,15.92,0.42,1.49,3.28,11.24,10.25,0,0,95.18,1.38,1.25,1.05,3.89,20.78,0,0,3.54,21.02,0.55,3.14,3.19,0,0,0.91,0,1.8,0,0,2.08,0,0.5,4.38,0,0.51
120,0,0,0,0,2.92,15.71,0,17.73,0,4.06,0,6.79,14.44,0,5.18,103.16,3.03,0,0,19.22,23.86,0,2.21,4.87,47.78,0,0,0,0,0,1.04,0,2.16,0,0,4.07,1.94,0,5.71,0,0
