stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature
 14-21,0,0,0.9,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0.84,0,0,0,0,0,2.91,0,0
 24-34,0,0,0.81,0,1.42,0,0,0,0,0,6.19,0,0,0,3.69,0,0,47.3,0,0,0,0,0,10.9,0,0
 36-46,0,0,0,0,0.88,0,1.09,2.24,0,0,5.21,0,0,0,0,0,2.73,133.26,0,0,0,0,0,12.23,0,0
 48-58,0,0.43,0.79,0,2.47,0,0,1.39,0,0,1.72,0,0,0,1.68,0,0.37,146.59,0.37,0,0,0.4,0,10.29,0,0
 60-70,0,0,3.17,0,29.16,0,0,8.57,0,0,13.38,0,0,0,11.44,0,2.45,293.74,2.2,0,0,2.38,0,18.74,0,0
 72-82,0,0.75,1.4,0,44.87,0,0,52.36,0,0,1.28,0,0,0,12.82,0,3.93,324.15,0.53,0,0.87,4.51,0,20.51,0.53,1.72
 84-94,1.15,1,1.26,0.98,50.49,0,0,59.21,2.83,0,2.36,0,0.69,0,4.76,0.66,0,282.53,0,1.37,0,0.75,0,12.66,0,0
 96-106,0,0.71,3.09,0,64.62,0,0,57.99,0,0,4.1,0,0,0.7,13.19,0.94,1.67,201.82,0,0,0,1.94,0,16.39,1.35,0.56
108-118,0,3.59,5.97,0,100.17,0,0,66.71,1.23,1.28,6.13,0,0,0,16.52,0,0,425.72,0.49,0,0,0,0,4.14,1.88,0
120,0,0,14.47,0,89.09,1.33,0,101.55,0,0,0,1.92,2.12,0,6.84,0,0,894.25,0,0,0,0,1.13,9.91,4.82,0
