stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,0,76.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,0,0,0,0
  5-6,13.42,137.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.15,0,0,0,0,0,0,0
 10-12,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,13.69,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,2.56,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,6.1,0.91,0,0,0
 48-58,0,0,0,0,0.38,0,0,0.55,0,0,0,0,0,0,0,0,7.26,1.84,0,5.54,0,0,0,0.45
 60-70,0,0,0,0.69,0,0,0,7.69,0,1.12,0,0,0,0,0.91,0,0,0,0,65.13,0,0,0,0
 72-82,0,0,0,2.89,0,0,10.2,5.12,0.79,2.61,0.85,0,0,0,0,0,5.93,0,0,132.73,0,0,0,0
 84-94,0,0,0,20.88,0,0,0,41,0,3.1,5.17,0,0,1.72,0,0,0,9.18,0,135.9,0,0,6.14,0
 96-106,0,0,0,62.26,0,0,1.04,77.07,0,4.35,1.28,1.46,0.94,6.86,3.67,1.11,27.83,0,0,372.16,0,0.67,0,0
108-118,0,0,0,84.45,0,2.79,5.53,134,0,0.87,13.44,0,0,8.46,1.55,0.51,10.98,0,0,308.59,0,0,0,2.22
120,0,0,0,49.09,0,0,10.61,162.32,0,12.49,4.74,0,0,16.52,0,0,4.44,0,0,247.41,0,0,0,0
