stage,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,liver,mesenchyme,muscle,neural,periderm,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 36-46,0,0,13.21,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,56.49,0,0,0,0,0,0.37,0,0,0,0,0,0
 60-70,0,0,449.36,0,0,0,3.43,0,0,0,6.9,0,0,0,0
 72-82,0,7.83,685.57,0,0,0.52,0,0,5.31,0,3.8,0,0,0,1.14
 84-94,0,0,502.75,2.51,0,0,0,0,2.01,0,17.76,0,0,7.68,0
 96-106,0,6.97,297.35,0,0.58,0,0,0,0,0.92,0,0,1.51,0,1.86
108-118,1.84,1.66,321.27,4.16,0,1.09,0,1.51,8.24,0,18.43,3.25,0,0,0
120,0,0,319.2,0,0,0,0,0,0,0,18.96,1.18,0,0,0
