stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,6.89,0,0,0,0,0,0,0,0,0
 14-21,0,52.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,29.53,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,2.68,0.62,0,1.73,1.82,0,3.82,0,0,0,0,0,2.39,0,0,0,0,0
 36-46,0,66.26,0,0.69,0,0.89,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,7.76,0,1.2,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,101.2,0,1.28,0,7.51,0,0.37,0,0.69,0,0,0,0,0,1.43,50.46,0,0,0.48,9.34,0,1.51,0,0,0,0,0,2.42,0,0,0,0,0
 60-70,0,158.07,0,4.99,0,30.31,0,0,0,0,0,0,0,4.16,0,0,436.78,6.7,1.04,0,9,5.27,4.03,0,0,0,0,0,0,0,0,0,0,13.54
 72-82,0,132.01,23.54,10.86,0,25.41,0.67,0.59,0.53,0,1.23,0,0,10.01,3.44,0.5,884.32,3.06,2.32,2.91,16.15,0,1.74,0,0,11.78,0,1,1.27,14.25,10.12,1.46,1.45,1.63
 84-94,0,328.69,4.06,24.97,0,60.47,2.52,0,0.61,0,0.74,2.97,0,15.03,0.74,0,815.39,6.39,3.85,5.33,23.16,2.37,8.05,0,0,1.49,0,0,2.11,8.4,3.96,0,0.89,3.78
 96-106,0,318.64,3.38,81.87,0,100.77,5.19,9.72,6.47,3.88,8.64,0,1.05,47.62,41.29,0.67,1984.68,4.4,30.99,12.5,59.98,2.27,6.38,3.94,0,16.84,3.63,1.42,0,0.67,20.46,14.32,12.74,9.07
108-118,0,447.92,0.53,25.38,0.78,144.94,4.53,0.48,7.52,1.72,2.51,115.32,5.53,98.83,58.55,2.39,2632.87,3.32,4.75,7.36,61.77,6.05,18.85,13.68,0,30.73,3.71,0,0.57,0,7.62,11.01,0,18.99
120,0,436.53,6,35.26,0,140.6,15.96,8.6,4.26,0,0,1.76,2.67,94.93,88.89,1.54,2984.64,7.44,18.71,34.46,234.55,9.28,5.82,5.77,0,11,0,0,11.27,1.28,10.58,44.07,7.78,22.1
