stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.98,223.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0,0,0
  5-6,54.22,570.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0
  7-9,7.47,10.44,3.55,0,0,33.9,0,0,0,0,13.52,0,0,0,0,0,0,0,0,0,310.02,30.01,0,0,113.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.91,36.9,0,8.31,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.49,11.91,0,0,41.01,0,0,0,5.43,0,0,0,0,0,0
 14-21,0,0,0,8.38,3.77,2.75,0,0,1.02,0,0,1.5,0,0,0,0,0,3.66,0,3.78,40.86,1.24,0,0,0,0,1.97,13.61,0,7.81,11.86,0,1.45,0,3.56
 24-34,0,0,0,0.64,0,2.5,0,0,0.79,0,0,0.68,0,0,0,0,0,9.9,0,2.34,41.73,0,1.12,2.33,0,0,7.11,0,0,0,8.56,0,0.61,0,0
 36-46,0,0,0,1.51,0,0.68,0,0.78,2.36,0,0,0,0,12.02,0,0,0,3.41,0,1.72,18.26,0,0,0,0,0,37.03,0,0,0,3.92,0,0,0,0
 48-58,0,0,0,4.21,0,8.63,0,0.44,1.87,0,0,0,0,0,0,0,0,20.43,1.73,5.13,34.07,0,1.33,0.54,0,0,15.61,0,0,0,10.2,0,3.83,0,0
 60-70,0,0,0,0,0,4.23,0,0,0,0,0.97,3.68,0.57,0,0,0,0,10.28,0,0.58,15.46,9.72,0,0,0,0,13.01,0,0,0,0.87,0,0,0,0.72
 72-82,0,0,0,4.63,1.45,16.2,0,0,10.6,0,0.6,1.15,0,0,0.64,2.27,0,15.99,0,2.84,32.45,0,7.06,0,0,0.87,4.42,0,0,0,4.13,0,7.45,0.91,0
 84-94,0,0,0,1,0,3.63,0,0.62,4.33,0,0,0,1.65,0,0,0.65,2.81,16.42,0,1.46,20.9,0,0,0.56,0,0,11.53,0,0,0,5.32,0,1.82,0,0
 96-106,0,0,0,0.57,0,21.89,2.12,2.59,3.62,0,0,0.88,0.62,0,0,7.82,0,31.89,0,2.08,15.22,0,6.46,0.64,0,0,13.03,0,0,0,5.69,0,1.78,1.68,0.79
108-118,0,0,0,2.02,0,3.19,2.37,0,1.3,0,0,2.12,0.48,0,1.28,0.53,0.51,12.11,0,1.72,14.07,0,3.29,0.78,0,0,9.32,0,0,0,0,0,1.4,0,2.73
120,0,0,0,0,0,16.44,1.45,6.2,0,1.55,0,6.36,7.73,0,0,0,0,19.06,0,0,3.01,1.29,0,0,0,0,11.74,0,1.47,0,0,13.11,0,0,0
