stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.58,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.48,3.16,0,0,0,0,4.33,0,8.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,37.48,0,0,2.92,0,0,0,1.23,0,0,0,0,8.99,0,0,0,1.24,7.36,0.9,0,2.1,13.69,58.38,1.08,0,5.95,0,107.41,2.18,0,0,1.63,6.28,0,0,0,0,1.85
 24-34,0,0,0,92.18,0.87,0,35.3,0,0,0,0,0,0,41.84,0,9.91,1.56,0,0,18.63,13.31,3.65,0,3.57,66.71,3.5,13.13,6.35,0,0,108.74,0,0,0,0.66,5.71,0,0,3.36,0,2.21
 36-46,0,0,0,95.47,0,0,57.84,0,8.76,2.07,0.99,0,0,91.46,0,0,0,0,0,6.97,30.94,3.23,1.45,2.56,74.02,0.69,10.8,8.62,0,0,63.99,0,0,0,0,10.49,0,0,0.7,0,0.67
 48-58,0,0,0,135.81,0,0,83.01,0,0,14.88,28.16,0.44,0.78,36.25,0.57,0.39,0,0.91,0,11.06,122.04,2.77,0.6,1.03,104.63,0,1.74,3.39,0,0,28.43,0,0,0,0,9.61,0,6.66,2.44,0,2.05
 60-70,0,0,0,375.02,0,0,176.36,0,6.1,43.98,298.78,0,0,31.9,0,1.1,1.91,0.73,0,2.42,465.67,0,0,0.82,116.03,0,5.26,2.01,0,4.65,35.68,0,7.44,0,0,9.82,0,1.17,0.89,0.61,0
 72-82,0,0,0,326.54,14.27,0,570.42,1.41,1.71,106.42,996.51,0,0,4.68,0.6,1.13,0,5.44,0,0,1482.06,3.85,2.59,9.05,227.23,0,3.45,15.45,0,0,144.77,0,0,0,0,3.36,1.44,80.34,5.63,1.75,12.44
 84-94,0,0,0,652.64,5.05,0,772.71,2.69,11.7,52.63,714.57,8.07,0,11.74,0,3.5,0,0,2.56,0.68,1870.89,8.06,0.6,4.35,176.11,0,13.56,5.77,0,3.87,554.19,0,0.57,0.83,0,8.87,0,75.48,2.75,5.81,0
 96-106,2.25,0,1.61,1364.21,58.06,9.72,1424.42,6.02,29.97,44.5,1792.95,14.4,0,65.28,10.46,3.04,1.03,6.38,47.14,0,3624.25,7.62,0.84,12.41,473.87,0,20.04,17.77,0,2.34,1140.45,0,1.31,0,0,14.45,9.13,328.34,18.79,2.51,9.8
108-118,0,0,0,2165.65,17.13,4.24,2137.78,13.42,84.37,71.34,1899.16,9.02,0,56.8,3.81,10.03,3.37,8.3,27.03,0.5,5246.06,13.58,4.56,16.78,415.38,5.08,10.65,23.95,0,14.81,2326.12,0,0,0.53,0,14.42,3.86,304.31,4.77,4.3,1.7
120,0,0,0,1022.86,17.95,42.4,2038.25,15.21,60.34,60.72,1435.38,5.06,0,17.28,6.17,0,1.92,6.97,99.9,12.74,3702.87,1.05,13.86,14.23,477.71,6,24.13,7.03,0,19.94,1101.36,0,0,15.42,0,33.53,5.79,480.33,33.55,9.56,2.85
