stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.84,0,2.11,0,0,0,0.83,0,0,0,0,0,0,0,0,2.72,0,0,4.48,58.22,0,0,0,1.19,0,0,0.9,4.28,0,1.23,3.46,30.41,0,0,0,0,0
 24-34,1.51,6.1,9.25,5.82,0,0,0,1.63,0,2.16,0,0,0,0,0,0,3.93,0,0,0,710.02,0,1.41,0,0,0,0.85,0,0,0,0,2.05,197.62,0,0,0,0,0
 36-46,0,1.07,0,35.06,0,0.93,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,2251.87,0,9.3,4.08,0,0,0,0,0,0,0,0,426.44,0,0,0,0,0
 48-58,0,3.06,2.52,323.28,0,1.62,0.98,27.88,0,1.74,5.83,0,0,0.51,0.48,9.63,25.94,0,0,2,4160.04,10.26,6.92,1.93,0,0,5.19,0,0,0,0,0,588.54,0,0,6.36,0,14.37
 60-70,0,6.94,9.11,1478.62,0.93,6.23,0,33.15,0,0,2.72,0,0,0,0,0,34.36,0,0.69,2.86,7269.92,1,11.46,0.77,0,0,10.7,0,0,4.97,0,0,865.86,0,0,0,0,1.82
 72-82,0.88,15.18,11.75,2279.98,0.74,11.58,8.37,68.79,2.88,1.08,9.79,0,0,1.62,0,0,69.72,2.55,6.06,6.51,6176.16,0,22.44,1.92,0,1.52,5.99,0,0,0,0,0,550.79,0,1.35,6.01,0,28.58
 84-94,1.05,23.33,8.9,1222.79,0,4.74,8.29,60.38,0.8,0.7,4.58,0.56,0.71,0.69,0,22.02,43.65,0,1.32,1.96,3832.51,0,5.33,0.97,0,0,3.56,0,0,0,0.63,0,409.45,0,0,9.51,8.06,9.63
 96-106,0,41.92,23.19,1397.93,1.56,1.76,0.72,76.89,3.3,2.91,1.28,0,2.28,3.68,0.88,3.08,53.43,2.13,0,3.34,2981.41,0,18.42,3.31,0,0,19.05,0,0,0,0,0,171.67,3.01,0,5.94,1.52,6.58
108-118,0,23.52,1.42,954.72,1.13,0.5,3.79,92.9,1.25,0,5.03,1.01,0.51,0,3.99,0,41.56,2.22,2.4,4.21,4123.19,0,17.69,0,0,0,8.96,0,0,0,0,0,175.75,1.55,0,2.72,1.68,2.22
120,0,56.54,6.91,719.92,0,1.01,0,112.64,4.65,2.77,2.24,0,2.23,0,0,0,63.93,0,0,9.87,5217.55,3.28,8.25,0,0,0,3.72,0,0,0,0,0,222.35,0,0,0,0,0
