stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12,0,0,9.73,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,18.14,0,0,3.12,0,0,0,0,0,0,0,0
 14-21,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,4.38,0,0,0,0,8.02,0,2.15,0,0,0,0
 24-34,0,1.96,0,1.24,0.62,0,0,0,0,1.17,0,0,0,0,0,0,0,14.9,0,0,0,0,6.18,0,1.47,0,2.33,0,0
 36-46,0,0,0,0.77,0,0.81,1.04,0,0,0,0,0,0,2.33,0,0,0,4.88,0,0,0,0,54.02,0,1.94,0,0,0,0
 48-58,0,0.38,0,1.42,0,0,0,0,0,0,0,0,0,1.28,0,0,0.45,7.88,0,0,0,0,25.35,0,0.86,0,0,0,0
 60-70,0,4.75,0,7.02,0,0,1.61,0,0,0,0,0.58,0,3.95,0,0,0,21.23,0,0,0,0,20.67,0,2.8,0,0,0,0
 72-82,0,0,0,2.16,0.51,1.07,3.05,0,0,0,0.7,0,0,4.65,0,0,0,16.62,1.18,0.83,0,0,15.89,0,0,1.91,0,0,0.63
 84-94,0,1.25,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0.6,0,0.97,0,0,0,0,39.5,0,0,0.58,0,0,0
 96-106,0,0,0,0,0,0,3,1.52,0,2.94,1.23,0,0,1.96,0.81,0,0,11.22,0,0,0,0,12.93,0,0,0,0.97,0,1.91
108-118,0,1.72,5.29,0,0.96,1.46,3.86,0.63,0,0,1.34,0,0,2.56,0,0,0,2.26,0,0,0,0,21.64,0,0,0,0.56,1.11,0
120,0,4.46,0,8.02,0,0,0,0,0,0,0,0,9.82,0,0,0,0,9.96,0,0,0,9.62,21.89,1.04,0,0,1.44,0,0
