stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.62,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.1,1.29,0,2.18,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,28.43,0,0,14.43,0,0
 36-46,0,0,2.55,0,0,0,0,0,0.85,0,138.57,0,0,18.42,0,0
 48-58,0,0,12.98,0,2.86,0,0,0,1.92,0,322.29,0,0,39.23,0,0
 60-70,0.64,0,73.35,0,1.93,0,0.7,0.81,1.32,0,442.1,0,0,50.69,0,0
 72-82,1.74,0,59.33,0,12.73,0,0,0,19.54,0,526.78,0,0,41.08,0.63,0
 84-94,4.44,5.78,69.32,0,6.36,0,0,0,4.1,0,383.86,0,0,21.34,0,0
 96-106,0,2.22,48.46,0,4.43,0,0,0,15.16,0.7,276.4,0,0,6.02,0,0
108-118,4.52,0,50.76,0.5,6.83,0.7,0,0,5.33,0,269.01,0,0,2.18,0,1.19
120,0,0,64.63,0,15.47,0,4.75,0,7.2,0,643.46,0,3.01,0,0,0
