stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.36,0,3.26,0,0,0,0,0,0,0,0
 10-12,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,18.58,0,0,0,0,0,0,0,0
 14-21,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,2.09,0,0.81,1.82,0,0,0
 24-34,0,0,0.7,0,0.66,0,3.01,0,0,0,0,0,0,0.6,0,0,0,7.79,0,0,0,6.79,0,0,0,0,0,0
 36-46,0,0,7.2,0,0,0,0,0,0,0,2.29,0,0,0.59,0,0,0.68,10.78,0,0,0,17.44,7.05,0,0,0,0,0
 48-58,0,0,0,0,0.6,0.7,6.62,0,0,0,0.57,0,0,2.47,0.56,0,0,4.23,0,0,0,18.57,0,0,1.2,0,0,0
 60-70,0,0,6.11,0,0,1.08,2.63,0,0,0,6.18,0,0,2.31,0,0,0,0,0,0,0,19.44,0,0,0,0,0,6.3
 72-82,0,0,3.95,0.67,0,0,1.19,0,0,0.56,0.75,0,0,0.53,0,0,0,6.56,0,0,0,9.59,0,0,0,0,0,3.01
 84-94,0,0,0.62,0,0,0,2.89,0,0,2.15,5.28,0.56,1.22,1.51,0,0,0,9.56,0,0,0,20.4,0,0,0,0,0,0
 96-106,0,0,11.18,2.26,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,1.69,0,1.36
108-118,0,0,9.62,0,7.1,0,3.47,0.7,0,2.82,7.53,0,1.1,1.83,0,1.06,0.45,2.78,0,0,5.68,16.85,0.9,0,0,0,0.83,0
120,0,0,16.93,0,0,1.1,0,0,2.78,0,1.28,0,1.1,6.05,0,0,0,0,1.32,0,0,27.19,0,0,0,0,0,0
