stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,1.73,11.46,1.8,0,13.78,0,0,0,0.92,1.58,0,0,0,0,0,0,0,2.44,0,0,1.68,57.27,0.83,0,1.09,0,0.85,5.29,0,0,1.8,21.09,0,0,0,0,0
 24-34,0,0,5.12,0,0,19.09,0,0.71,0,4.01,0,0,0,1.95,0,1.24,0.94,0,7.73,0,0,6.29,195.07,0.64,4.44,3.41,0,9.33,0,0,0,2.03,48.3,0,0,18.14,0,0
 36-46,0,0,6.16,0,0,31.33,1.14,0,0,7.51,0,0,0,0,0,0,0,1.49,7.7,1.37,0,1.62,180.59,0,0.9,0.61,0,12.06,0,0.62,0,0,56.14,0,0,2.94,0,0.64
 48-58,0,0,5.99,0,0,55.92,0,0,0,13.7,0,0,0,0,0,1.76,0,0.56,17.72,0,0.6,3.77,155.23,0,2.23,1.22,0,9.68,0,0,0,0,42.11,0,0.37,0,0,1.9
 60-70,0,0,1.67,0,0,79.41,0.68,8.39,11.2,12.58,0,1.05,2.41,1.69,0,0.77,0,0,22.13,0,0,2.09,173.92,1.17,0,0,0,2.68,0,0,0.67,0,18.91,0,0,8.17,0.98,1.29
 72-82,1.69,0,3.28,4.16,0,85.67,0,0,0.68,11.2,3.39,0,0,0,0,0,3.3,0.87,40.4,0,0,1.99,175.82,1,1.18,0,0,4.96,0,0,0,0,19.41,0,0,2.72,1.38,15.9
 84-94,6.79,0,4.08,0.74,0,63.62,0,0,0,15.07,1.68,0,1.86,2.42,0,0,0,0,7.78,5.7,0,2.54,90.5,3.01,1.71,2.81,0,19.92,0,1.16,0,0,11.03,0,0,3.95,0,0
 96-106,0,0,3.79,6.52,0,59.07,0,0,1.31,15.11,3.63,0.87,1.57,1.51,0,0.67,1.06,0.67,10.18,0.77,0.56,1.41,98.58,0,0.6,1.63,1.17,10.38,0,0,0,0,0.57,2.44,3.17,2.59,2.57,3.81
108-118,0,0,3.55,1.71,0,66.23,0,1.48,0,5.09,1.06,0,4.11,0,0,0.48,0,4.61,21.29,0,0.69,1.14,53.81,0,3.56,1.83,0,13.9,0,0,0,0,4.81,0,0.88,0,0,0
120,0,1.28,7.53,0,8.11,50.91,0,1.13,3.89,9.28,6.71,0,4.84,2.26,1.18,0,0,3.24,5.61,0,0,0,96.62,3.31,1.54,0,0,2.16,0,0,0,0,0,0,0,2.25,0,0
