stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.5,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.94,0,0,0,0,0,0,0,0,0,0,2.31,0.61,0,0,0,0,0,0,1.03,0,0,0,0,0
 36-46,0,0,0.6,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,9.39,0,0,0,0.84,0,0.85,0,0,2.56
 48-58,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0.83,0,0,0,16.78,0,0,0.4,0.4,0,0,0,0,1.04
 60-70,0,0,13.47,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,20.37,0,0,0,0
 72-82,0,0,35.89,8.22,2.86,0.66,1.23,0.86,0.66,0,0,0.52,3.14,4.51,0.6,0,0,28.08,3.82,0,0.96,0.99,174.92,0,0.73,0,0
 84-94,0,0,30.98,15.54,6.24,0,0,0,9.31,0,0,1.01,0,3.43,0,0,2.13,29.17,0,0,4.75,0.66,587.88,0,0,3.28,0
 96-106,0,0,91.45,1.68,11.37,0,0,2.8,15.66,0,0,0.87,0,4.82,0,0,0,30.28,1.08,0,4.48,4.76,775.13,0,0,0,0
108-118,0,0,93.27,2.04,10.69,1.75,0,3.71,8.75,0,0.63,3.24,0,5.65,3.75,0,0,9.84,1.31,1.96,2.24,0,716.3,0,0,0,4.4
120,0,0,49.7,12.59,0,3.63,11.59,0,10.58,0,3.54,4.81,0,6.06,0,1.26,0,13.69,0,0,1.68,0,367.49,0,0,0,0
