stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.94,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.37,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.39,468.69,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.32,25.88,0,15.62,0,0,0,42.33,0,0,0,0,0,18.87,0,0,0,0,0,0,0,0,0,0,319.84,15.52,0,0,183.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.08,0,14.94,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.44,22.3,0,0,249.7,0,0,0,0,71.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.31,11.41,3.06,0,7.12,0,0,0,5.05,2.82,0,0,0,0,0,0,4.33,0,6.81,0,1.75,112.18,5.51,0,5.27,1.29,0,1.92,0,11.22,0,0,11.86,29.57,0,0,1.01,0,0
 24-34,0,0,0,1.19,5.93,0.81,0,23.55,0,0,0.76,3.92,0,0,0,0,0,0,0,0,0,19.77,0,9.35,210.32,0.68,3.14,3.62,0,0,5.81,0,0.95,1.41,0,4.88,29.36,0,0,7.39,0,0
 36-46,0,0,0,0,3.65,0,0,26.91,0,0,1.44,11.13,0,0,0,0,0,0.71,0,0,0,19.57,0,3.77,145.63,0,1.31,2,0,0,21.92,0,0,0,0.58,0,27.1,0,0,0.6,0,4.89
 48-58,0,0,0,0,0,0,0,52.54,0,0,0.88,22.43,0.97,0,0.6,0,0,0,0.5,1.08,0.87,25.76,0,3.33,133.17,0.44,1.72,0,0,0.53,1,0,0,0,0,0,31.97,0,0,5.96,0,3.87
 60-70,0,0,0,0,11.93,0,0,42.37,1.61,0,0,29.13,0,0,0.84,0.57,0,0,0,0,0,28.91,0,8.81,113.55,0,0,0,0,0,4.84,0,0,1.82,0,0,14.11,0,0.79,1.72,0,6.94
 72-82,0,0,0.53,0,2.5,0,0,47.43,0,1.55,2.62,52.79,0,0,2.81,1.23,0,0.79,2.35,0,0.68,47.42,0.93,5.63,63.99,0,0.63,0.81,0,0.71,5.87,0,0,0,2.08,0,10.84,0.68,0.99,6.56,2.52,1.14
 84-94,0,0,0,0,9.89,0.69,0,42.7,0,1.55,0.69,27.74,1.44,0,0,2.34,1.87,0,1.67,0,0,40.25,0,7.19,38.46,0,0.65,4.24,0,0,10.95,0,0,0,0,0,3.82,1.34,3.22,3.51,2.33,0
 96-106,0,0,0,0,6.54,0,0.77,39.86,0,0,1.45,35.01,4.91,0,3.83,4.94,1.31,0,2.35,0,0.68,51.78,1.82,4.31,34.69,0.58,3.12,1.93,0,0,16.31,0,0,2.12,0,0,7.28,0,3.26,9.84,0,0
108-118,0,0,0,0,7.06,3.01,0,27.62,5.74,2.3,0.59,47.81,1.27,0,0,1.98,0.45,0,1.5,7.42,0,43.71,4.99,4.04,69.59,0,4.99,2.25,0,1.49,13.11,0.42,0,0.59,1.36,0,3.42,0,0,0.65,4.53,3.73
120,0,0,0,0,6.86,1.06,0,28.43,0,6.6,0,49.21,0,0,4.46,0,5.27,1.91,0,1.01,0,35.1,0,10.34,37.13,0,6.1,6.86,0,0,7.73,0,0,2.61,0,0,1.98,0,0,0,0,3.63
