stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.31,5.46,0,0,0,3.3,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.29,21.23,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,1.29,11.52,0,0,0,0,0,1.86,0,0,1.29,7.53,0,0,0,0
 24-34,0,0,0.73,1.26,2.45,0,0,0,0,0,0,0,0,0,0,17.14,0,0,3.22,74.71,1.89,0,0,0,3.21,0,17.53,0,0,72.59,0,3.7,0,0
 36-46,0,0,0,0,3.25,0,0.77,0.93,0,0,0,17.59,0,0,2.88,25.44,0,0,2.12,236.41,0,0.61,0,0,34.5,0,0,0,0,74.05,0,1.84,0,0
 48-58,0,0,5.84,0,14.94,1.17,0.92,0.84,1.07,0,0,0,0,0,0,17.56,0,0,0.88,322.39,2.65,0,4.54,0,19.05,0,0.38,0.93,0,108.95,0,0.41,0,0.63
 60-70,0,0,0,0,36.12,0,5.67,0,0,0,0,0,0,0,0,22.81,0,0,5.33,345.45,0,1.44,0,0,17.86,0,0.59,0,0,93.61,0,0.59,0,0
 72-82,0,0.54,3.2,0,79.59,2.86,10.05,0.75,0.8,0,0,2.57,0.93,0,0,30.76,0,2.02,2,480.52,0,0,1.27,0,23.33,0,4.9,0,0,75.18,0,1.22,4.01,0
 84-94,0,1.15,5.2,0.88,40.73,0,7.12,0,2.66,0,0,2.63,10.27,0.57,0,12.93,3.11,0,0,333.48,0,0,0,0,127.66,0,2.31,0.61,0,42.69,0.86,2.56,0,0
 96-106,0,0,8.27,2.81,40.33,0.94,8.06,0,14.1,0,0.62,1.46,0,0,0,20.53,0,0,2.36,344.29,0,0,0.62,0,45.08,0,2.56,0,0,38.61,0.58,1.08,0.61,0
108-118,0,0,5.12,1.01,54.36,0,23.04,2.32,6.68,1.66,0.55,5.17,0,0,1.34,17.21,0.42,0,4.14,416.67,0,0,0,0,19.07,0,3.52,0.72,0,24.64,1.19,1.5,0,0.83
120,0,0,2.55,0,95.3,0,16.41,1.74,37,0,3.3,5.66,0,0,0,46.63,0,0,1.15,790.16,0,0,13.55,0,8,0,4.89,4.38,0,47.14,1.99,0,7.69,0
