stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,4.92,0,0.92,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,22.93,0.9,0,0,0,2.66,0.91,0,0,0,0,0
 24-34,0,13.28,1.6,1.62,0,0,0,1.01,0,4.2,0,0,0,0,1.94,0.93,0,1.42,7.64,0,1.36,0,0,8.9,0,1.09,0,0,2.61,0
 36-46,0.73,0,0,0.63,2.62,0,0,1.45,0,10.28,0.83,0,0,0,1.25,8.1,0,0,69.27,0,0,0,0,10.84,0.81,0,0,0,0.63,0
 48-58,0,1.08,0,5.23,1.84,0,0,0,0,13.2,0,0,0,1.88,0,2.78,0,0,42.97,0,1.07,0.45,0,5.76,0,0.67,0,0,3.06,0
 60-70,0.86,8.66,0,2.15,6.24,0,2.98,0,1.77,14.2,0,0,0,0,0.74,1.49,0,0,33.19,0,2.5,0,0,13.91,0,0,0,0,3.95,0
 72-82,1.73,16.07,3.38,9.08,0,0,1.63,3.11,0,69.53,0,0,0,0,3.71,3.34,0.76,0.82,17.14,0,0,0,0.84,7.24,0,1.7,0.74,0,8.01,0
 84-94,3.45,7.82,3.45,10.6,1.91,0,1.32,0,0,84.28,0,1.29,0,0,5.07,3.76,0,1,25.04,0,0,0,0,6.88,0,0,0,2.64,1.6,0.55
 96-106,0,46.64,2.53,10.53,0.64,0,7.46,6.06,0,109.76,1.28,0,3.16,0.7,1.7,8.59,0,0,31.85,0,0,0.73,0,7.88,0,0,0.82,0,11.4,0
108-118,0.85,62.74,2.88,10.89,2.45,0.64,4.67,12.84,0,101.48,1.45,0,0.43,0.69,6.25,1.06,0,1.06,33.44,0,0,0,0,5.16,0,0,2.42,0,8.85,0.75
120,3.52,61.33,1.38,8.55,0,0,3.65,16.62,0,166.14,2.99,0,2.87,0,19.53,0,0,0,35.53,0,1.26,0,0,12.9,0,0,5.08,0,30.72,0
