stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,35.54,487.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0
  5-6,93.28,804.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.82,0,0,0,11.61,11.94,0,0,0,0,0,0,0
  7-9,4.26,24.97,42.22,0,0,57.71,0,0,0,19.79,0,0,0,0,0,0,0,584.63,4.22,0,0,99.05,0,0,0,0,0,0,0,0
 10-12,0,0,22.45,0,0,33.84,0,0,0,6.06,0,0,0,0,0,0,0,305.57,0,0,0,54.83,0,0,6.93,0,0,0,0,0
 14-21,0,0,0,5.64,0.89,0,0,0,0,0,0,0,0,0,1.82,0,0,7.56,1.01,0,5.37,0,0,1.75,0,0,3.8,0,0,0
 24-34,0,0,0,1.32,0,0.63,0,0,0,0,0,3.42,0,0,5.79,0,1.57,12.06,0,1.53,0,0,0,0,0,0.59,3.15,0,0.6,0
 36-46,0,0,0,13.7,0,0.66,0,0,0,0,0,4.99,0,0,1.54,0,0,14,0,0,0,0,1.92,0,0,0,0.76,0,0,0
 48-58,0,0,0,0,0,0.64,0,0,0,0,0,0,5.25,0,0.64,0,0.48,10.2,0,0,0,0,1.81,0,0,0,0,0,7.59,2.07
 60-70,0,0,0,9.37,0,4.24,0.88,8.77,0,0,0,0,0,0,6.17,0,0,25.44,0,0,0,0,3.01,0,0,0,2.04,0,0,0
 72-82,0,0,0,0.51,4.67,1.58,0,0.73,0,0,2.39,0,0,0,3.79,0.79,0.68,6.06,0,0,4.76,0,0,0,0,0,2.26,0,0,0
 84-94,0,0,0,0.6,2.1,5.23,0,2.19,0,0,0,0,0,0,0.73,0,0,12.85,0,0,0,0,1.18,0,0,0,3.51,1.03,0,0
 96-106,0,0,0,0,2.02,2.91,0,0,0,0,0,0,0,0.63,0,0,0,1.52,0,0,0,0,8.76,0,0,0,0,0,0,0
108-118,0,0,0,0,0.46,4.41,0,0.71,0.59,0,0,0,0,0,0.43,0,0,7.1,0,0,0,0,2.08,0,0,0,0.44,1.02,0,0
120,0,0,0,1.78,2.14,4.59,0,0,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,13.84,0,0,0,0,1.94,0,0
