stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,18.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,33.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.07,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.94,0.81,0.99,0,0,0,0,0,1.63,0,0,0,0,0,0,1.73,0,0,3.55,48.23,0,1.84,0.91,0.9,0,0.89,0,0.97,0,1.08,11.64,0,0,1.12,0,0
 24-34,0,0,0,13.04,3,5.36,0,0,8.33,0,0,3.38,0,3.03,0,0.82,0,0,11.78,1.49,0,7.97,231.94,0.95,4.55,0.74,0,0,0,0,0,0,0.66,86.03,0,0,41.44,0,0
 36-46,0,0,0,2.83,0.73,67.45,0,0,45.15,0,0.76,0.75,0,0,1.81,1.41,1.45,0,15.16,0,0.88,0,416,0,0,0,0,0,0,0,0,1.49,0,73.4,0,0,29.22,0,6.73
 48-58,0,0,0,7.69,3.91,191.54,2.57,0,112.32,0,0.49,0.85,0.4,0.97,0,0,0,2.6,20.37,1.79,0.43,1.67,563.99,0,0,5.89,0,0,0,0,0,0,0,110.74,0,0.51,18.51,0,0
 60-70,0,0,0,4.37,10.25,462.5,0,0.84,102.07,0,0.66,0,5.84,0.64,2.04,0.79,0,7.36,44.26,1.02,0,3.46,835.48,0,2.19,10.68,0,1.19,11.99,0,0,0,0,73.61,5.75,0,17.96,0,0
 72-82,0,0,0,1.78,35.01,482.28,0,2.91,83.5,0,1.6,2.36,15.88,1.14,1.41,1.46,0.78,0,38.01,1.8,0,2.45,690,0,2.92,3.25,0,1.99,0,0,0,0,0,55.94,1.42,0,32.32,2.63,0
 84-94,0,0,0,3.99,5.62,257.83,4.63,0.69,67.47,4.65,0,0,7.23,5.08,0,0,0,12.63,50.28,1.71,1.13,0,376.84,0,3.69,0,0,0,7.95,0,0,0,0,49.62,5.25,1.25,31.9,0,0
 96-106,0,0,1.23,7.77,32.58,277.36,1.12,5.21,67.53,0,1.06,4.62,1.95,0,0,1.93,0.7,0,52.57,2.18,2.11,1.1,285.32,0,4.22,0,0,0,2.89,0,0,0,0,10.26,3.13,0,20.11,2.84,0
108-118,0,0,5.03,9.44,19.26,224.25,5.23,0.62,50.31,2.16,0,0,7.31,1.51,0,3.03,4.42,0,64.85,0,3.11,1.31,307.02,0,1.62,0.8,0,0,0,0,0,0,0,18.09,11.14,0,26.79,0,1.86
120,0,0,0,25.09,12.88,155.96,4.8,6.63,71,0,0,7.7,25.66,1.17,0,1.62,3.52,1.6,129.01,0,1.45,1.93,597.79,0,0,0,0,0,0,2.5,0,0,0,22.17,10.46,0,24.79,0,0
