stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,445.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.99,0,0,0,0,0,0,0
  5-6,15.17,119.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,17.6,0,0,0,11.96,0,0,0,0,0,0,0,0
 14-21,0,0,1.29,3.03,0,2.08,0,0,0,0,0,0,0,0,0,0,0.83,0,0,2.91,29.16,0,0,0,0,0,0.96,7.72,29.25,0,1.14,0,0
 24-34,0,0,0,1.44,2.21,6.03,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,351.71,0,1.25,0,0,0,0,0,146.33,0,0,0,0
 36-46,0,0,0,2.96,0,22.39,0,0,1.05,0,0,0,6.57,0.88,0,0,2.81,1.04,0,0,742.74,1.24,3.33,0,0,0,0,0,235.69,0,0.72,0,0
 48-58,0,0,0,3.44,0,86.19,0,7.83,4.13,0,0,0,0,0,0,2.56,6.88,0.7,0,1.11,1207.46,0,1.65,1.12,0,4.66,0,0,192.87,0,2.13,0,0
 60-70,0,0,1.1,6.47,0,195.36,2.63,0,11.06,0.78,0,2.37,0,0,1.96,0,6.68,1.14,0,0,1679.69,0,2.07,0,0,0.82,0,0,295.94,0,0.82,0,3.61
 72-82,0,0,5.41,4.59,0,203.72,0,0,11.81,3.05,0,0,1.79,2.8,0,0,10.56,0,0,0.5,1734.28,0,6.23,0.95,0,0,0,0,226.69,1.21,0,1.33,2.01
 84-94,0,0,5.81,1.88,0.56,214.42,7.53,0,19.02,1.22,0,0,0,1.34,0,0,4.9,0,1.91,1.76,1071.06,0,9.19,0,0,0,0,0,123.01,0,0.84,0,0
 96-106,0,0,9.05,1.83,0,183.81,0,0,21.34,3.02,0,0,1.88,0,0,9.06,14.68,0,0,0,953.03,0,2.98,0,0,4.56,0,0,51.07,2.03,0,0,0
108-118,0,0,4.31,6.46,0.9,130.4,0,0,6.61,2.49,0,1.5,0,0,1.66,0,6.46,0,0,0,833.98,0,2.1,0,0,0.5,0,0,55.74,2.9,0,0,0
120,0,0,1.22,5.65,0,162.88,0,0,8.7,2.51,0,0,0,0,0,0,20.09,0,0,0,1096.82,0,21.99,2.34,0,0,0,0,46.07,0,8.64,0,0
