stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0.82,0,0,0,0,0,0,0.95,0,0,0,0,3.1,0,0,0,0.81,0.85,0,1.22,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0.66,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,2.51,0.59,0,0,0,0,1.39,0,0
 48-58,0,0,0,0,0,0,0.46,0,0,0,1.28,0.39,0,0.51,4.81,0,0,0,0,0,0.54,0,0
 60-70,0,1.05,0,0,0,0,0,0.8,0,0,2.12,0,0,0,4.68,0,0,2.47,0,0,0,0,0
 72-82,0,0,0,3.04,0.76,0.55,0,0,0,0.5,2.38,0,2.53,0,4.11,0,0.75,0,0,0,0,2.23,0
 84-94,0,0,0,0,0,0,0,0.74,0,0,3.17,0,0,0,5.2,0,0,0,0,0,0,0,9.97
 96-106,0,0.56,0,0,0,0,0,0.97,0,0,3.64,1.03,1.67,0,4.11,0,0,0,0,0,0,0,0
108-118,0,3.38,0,0,0,0,1.52,0.49,0,0,4.13,0,0,0.86,0,0,0,0,0,0,5.01,0,0
120,1.28,5.24,0,0,0,0,0,0,1.52,0,5.52,3.89,4.12,1.79,16.5,0,1.5,0,0,0,0,0,0
