stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,85.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,3.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.2,0,3.67,0,0,0,0,0,4.71,0,0,0,0,0,0,0,12.19,0,0,0,1.17,1.44,4.37,0,0,0,0,0
 24-34,0,0,25.51,0,0,6.14,0,0,0,0,8.91,0,0,0,5.02,1.52,0,0,37.18,0,0,0,0,0,0.69,4.09,0,5.43,0,0.69
 36-46,0,0,5,0,8.52,5.11,0,4.27,0,0,17.52,0,0,0,3.22,0,26.85,2.87,54.69,0,0,1,0,0,0,13.08,0,4.04,0,0
 48-58,0,0,13,0,11.43,5.43,0,2.23,0,0,7.96,0,0,0,1.39,0,0,0.4,52.08,0,0,0,0,0,0,4.42,0,1.79,0,0
 60-70,0,0,12.4,0,17.94,14.04,1.21,11.8,0,0,16.38,0,2.88,0,2.7,0,0,0,46.12,0,0,0,0,0,0,3.67,0,4.37,0,0
 72-82,0,0,6.75,1.36,20.77,2.71,0,7.96,0,0,29.52,0,0.65,0,4.39,1.71,0,0,41.95,0.59,0,0,0,0,0,0,0,2.13,0.91,0
 84-94,0,0,37.46,0,18.38,8.27,0,5.82,0,0,44.16,0,2.18,0,0,2.71,0,0,23.13,0,0,0,0,0,0,1.97,0.55,1.34,0,0
 96-106,0,0,27.79,0,1.86,8.88,0,1.6,0.59,0,42.87,0.68,0,0,12.22,1.25,0,0,16.33,2.95,0,2.08,0,0,0,0,0.72,0.74,0,0
108-118,0,0,37.54,5.47,11.72,5.88,0,0,2.68,1.28,70.37,0.71,0.66,1.91,5.92,0.43,0,0,47.19,1.27,0,0,0,0,0,3.93,0,0.92,5.03,0.77
120,1.12,0,32.28,8.85,0,4.09,0,4.77,0,0,82.82,2.33,0,0,40.88,0,0,0,9.88,1.7,0,0,0,1.04,0,4.66,0,0,0,0
