stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.83,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,11.45,2,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,54.89,0.85,1.23,0,0.9,0,3,7.88,0,0,5.59,21.38,0,0,1.2,0,0
 24-34,0,0.83,0,11.1,0.81,0,14.81,0,1.11,0,0,0,0,4.49,0,0,0,1.51,0,15.63,0.61,0,4.36,330.37,0,6.86,2.65,0,0,0.77,0,0,0,0,74.96,0,0,3.14,0,0
 36-46,0,0,0,5.21,0,0,67.81,1.5,0,0,9.88,0,0.71,28.31,1.72,0,0,0,0,13.31,0,0,2.32,679.23,0.67,8.57,7.88,0,0,3.53,0,0,0,0,115.72,0,0,0.63,0,0
 48-58,0,0,0,4.71,0,0,156.25,0.96,1.59,0,20.91,0,0.54,0.89,0,0.43,0,0,0,17.39,0,0,1.57,701.9,0,3.51,1.69,0,0.56,2.19,0,0,0,0,118.48,0,0,2.91,0,0
 60-70,0.81,0,11.36,9.78,1.05,0,423.16,0.62,7.17,1.27,40.9,0,0,10.2,0,0,0,0,0,59.27,0,0,5.67,885.27,0,6.14,7.71,0,0,3.94,0,0,0,0,144.9,0.61,0,6.5,0,0
 72-82,0,0,0.79,3.64,1.39,0.76,381.27,0.65,0.78,0,37.56,1.29,0,11.48,0.5,0,0,0,0,44.7,1.31,0,11.91,826,2.7,2.41,4.33,0,4.71,3.09,0,0,0,0,93.02,1.01,1.08,0.57,0,0
 84-94,0,0,0.94,8.71,5.13,0,241.25,0,0,0,20.25,1.44,0,18.06,0.86,3.41,1.23,0,0,29.87,0,3.15,0.57,493.69,0,4.13,2.84,0,0,8.3,0,1.24,5.42,0,143.42,0.57,1.26,6.1,0,0
 96-106,0,0,1.23,1.8,0.72,0,175.02,1.34,0.76,0,15.49,2.66,0,11,0.82,0,3.69,15.98,0,13.69,0,3.24,0.88,513.69,0,13.26,6.34,0,0,19.16,0,0,0,0,55.42,2.1,2.46,8.23,0,0
108-118,0,0,0,6.69,0.81,5.2,232.42,0,0,1.28,11.69,1.12,0,8.71,0.99,0,0,3.15,0.58,16.19,0,0,0.6,603.73,0,6.62,1.49,0,5.54,14.28,0,0.75,0,0,42.21,0,4.23,0,1.09,0
120,0,0,0,3.88,28.12,0,321.78,0,0,0,40.98,0,0,38.25,0,1.62,0,0,0,2.8,0,0,3.79,1172.12,2.42,22.08,20.28,0,0,6.4,0,1.2,0,0,70.76,0,3.24,2.63,0,13.4
