stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  5-6,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.87,0,0,12.1,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,1.3,1.54,9.46,0,0,0,0,0.84,0,12.22,0
 24-34,0,0,0,1.74,0,0,0,0,0,0,3.77,0,21.71,0,0,0,1.06,0,0,7.29,0
 36-46,0,0,0,8.26,0,0,0,0,0,0,0.62,0.56,49.29,0,4.83,0,0,0,0,11.88,0
 48-58,0,0,0,9.97,0,4.94,0,0,0.8,0,1.32,0,44.88,0,2.9,0,0,0,0,17.64,0
 60-70,0,0,0,26.2,2.82,10.6,0,0,0.8,0,5.03,0,40.35,0,17.51,0,0,0,0.62,14.1,0
 72-82,0,0,0,12.69,4.53,24.07,0,0,3.21,0,5.69,0.7,32.91,0,26.68,0,0,0,0,8.02,0
 84-94,0,0,0,7.46,0,13.75,0,0,2.72,0,4.57,0,10.22,0,40.76,0,0,0,0,15.66,0
 96-106,0,0.88,0,0,0,30.73,0,0,11.73,0,7.74,0,13.34,1.58,34.95,0,0,0,0,1.16,1.83
108-118,0,0,1.71,11.49,0.73,26.16,0,1.07,6.9,1.26,0.53,0,27.06,0,47.55,0,0,0,0,3.62,0
120,0,0,0,13.86,0,19.82,2.27,0,8.49,0,5.95,0,13.75,0,37.98,0,0,0,0,0,0
