stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.45,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.25,0,0,0,1.08,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,3.08,0,2.23,0,0
 24-34,0,0,9.34,0.95,0,0,0,0,0,0,0,0,0,4.28,0,1.28,19.25,2.35,0,0,0,0,0,2.96,1.91,0,20.44,0,0
 36-46,0,0,20.11,0,0,10.92,0,0,0,3.3,0,0,0.58,14.16,0,1.84,6.67,4.12,1.66,0,0,0,0,0,3.77,0,3.34,0,0
 48-58,0,0,2.73,0,0,2.74,0,0,0.78,3.94,0,0,0,20.79,0,1.96,13.57,4.26,0,0,0,0,0.92,0,5.16,0,1.33,0,0
 60-70,0,0,13.91,0,0,7.56,1,1.62,1.1,3.14,0,0,0,29.17,0,1.72,8.4,0,0,0,0,0,0,0,0.69,0,2.86,0,0
 72-82,0,0,5.9,0,0,3.18,4.55,0,5.72,5.7,0,4.82,0,35.9,0,5.31,1.81,0.53,1.4,0,0,0,0,0,2.3,0,8.6,0.71,2.76
 84-94,0,0,6.35,0,0,6.41,0.56,0.73,0,1.21,1.51,0,4.36,34.97,0,4.79,0.79,0.68,0,0,0,0,0,0,0,2.45,10.85,2.65,1.57
 96-106,0,0,3.71,0,0,24.34,0,0,0.62,10.25,0,0.71,0.7,33.38,0,0,3.74,0.77,0,0,1.53,0,0,0,0,0,8.31,0,0
108-118,0,0,4.83,0,0.63,4.04,0.51,0.42,0,5.64,0,0,0,45.27,2.12,1,1.82,0,0,7.5,0,0.95,0.43,0,0,0,3.91,1.35,0
120,0,0,14.31,0,0,6.02,0,0,0,7.03,1.55,0,2.22,63.81,0,0,2.85,0,0,0,0,0,0,0,0,1.54,2,0,0
