stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,6.21,9.42,0,0,46.3,0,0,0,0,0,0,0,0,0,0,0,56.15,0,0,0,37.02,0,0,0,0,0,0
 10-12,0,0,11.48,0,0,14.22,0,0,0,3.42,0,0,0,0,0,0,0,37.74,0,0,0,21.62,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.23,0,0.84,0,0,0,0,0,0,0.95,0,1.19,9.83,0,0,0,0,9.83,0.98,2.93,0,0,0
 24-34,0,0,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,17.21,0.7,0,0,0,4.21,0,1.79,0,0,0
 36-46,0,0,0,1.58,0,9.33,0,3.56,0,0,0,0,5.7,0,2.28,0.77,1.66,89.11,1.27,0,0,0,5.57,0,24.07,0,0.56,5.36
 48-58,0,0,0,2.69,0,21.14,0,2.77,0,0,0,0,10.24,0,3.97,1.77,0,28.76,0,0,0,0,4.07,0,9.3,0,12.9,0.83
 60-70,0,0,0,6,0,7.28,0,1.29,0,0,0,0,18.35,0,2.78,2.56,0,23.64,0,0,0,0,6.03,0,0,0,0,0
 72-82,0,0,0,4.86,0,20.63,0,5.34,0.84,0,0,0,34.63,0,0.96,2.28,0.84,35.14,0,0,0,0,2.4,0,0,0.87,0,0
 84-94,0,0,0,2.95,0,8.97,0,5.48,4.81,0,0,0,43.99,0,3.57,0.65,0,30.09,0,0,0,0,5.66,0,3.96,0,0,0
 96-106,0,0,0,14.1,0,12.26,2.75,4.62,0.93,0,2.29,0,76.94,0,7.29,5.83,0,38.11,0,0.59,3.68,0,13.19,0,1.96,0,1.53,0
108-118,0,0,0,9.93,0,12.19,0.94,0,0,0,0,0,73.59,1.23,4.57,0,0,22.62,0,0,0,0,11.58,0,0,6.37,0,0
120,0,0,0,2.67,7.35,6.81,0,3.33,0,0,0,5.71,44.82,0,0,7.81,0,61.88,0,0,0,0,20.91,0,0,0,0,0
