stage,blastomeres,erythrocytes,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.78,0,0,0,2.14,0,0,1,1.31,37.68,0,0,1.08,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0
 48-58,0,0,0,0,0,0,12.22,0,0,6.54,0,48.51,0,0,0,0
 60-70,0,0,2.09,0.76,0,0,25.02,0,0,15.63,0.84,59.92,0,0,0,0
 72-82,0,0,8.27,0,3.21,0,50.73,0,0.92,18.67,0,115.97,1.54,0,0,0
 84-94,0,0,0,0,0.72,0,85.33,0.99,0,5.23,0,137.98,0,0,0,0
 96-106,0,0,2.89,0,0,0,111.69,3.85,0,18.03,3.02,185.94,0,0,6.81,3.89
108-118,0,2.21,1.09,0.55,0,7.22,82.71,2.73,0,9.55,3.8,139.11,0,0.5,0,0
120,0,1.12,3.71,0,0,0,85.56,0,0,44.13,14.05,265.3,0,0,0,0
