stage,axial,blastomeres,endoderm,epidermis,immune,lateral.line,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,391.11,0,0,0,0,0,0,0,0,44.11,0,0
  5-6,7.15,166.65,0,0,0,0,0,6.87,0,0,7.36,0,0
  7-9,0,0,4.28,0,0,0,0,22.9,20.43,11.66,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.47,0,0,0
 14-21,0,0,0,0.84,0,0,0,1.5,0,0,0,0,1.24
 24-34,0,0,0,0,0,0,0.78,0,0,0,0,1.04,0
 36-46,0,0,0,0,2.18,0,0,0.78,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.68,0,0,0,0,0,0
 60-70,0,0,0,0,0.76,0,0,0.67,0,0,0,0,0
 72-82,0,0,0,0,1.18,0.84,0.7,0,0,0,0,6.15,0
 96-106,0,0,0,0,1.03,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.54,0,0,0,0,0,0,0,0
120,0,0,0,0,1.28,0,0,0,0,0,0,0,0
