stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,47.44,0,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.11,19.56,0,0,343.97,0,0,0,22.06,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,133.75,35.96,0,0,3.07,0,0,75.9,1.52,0,0,0,15.6,0,0,317.92,4.08,0,242.7,103.98,7.37,1.87,37.28,85.32,0,0,170.75,0,0,141.76,18.35,0,0,0,0,0
 24-34,0,0.9,0.64,75.98,4.33,7.25,0,16.46,53.77,0,6.69,3.83,0,0.99,0.83,104.72,0,1.02,400.35,1.66,0,107.27,177.39,7.02,9.06,124.98,0,0,0,0,1.84,0.63,141.85,75.09,0,0,0,0,0
 36-46,0,0,0,44.85,0.76,5.61,0,2.98,121.97,2.47,4.7,7.48,4.14,0,0,74.41,0.72,0,401.48,0.65,25.53,72.5,102.67,1.24,5.52,108.58,0,0.77,2.09,0,0,0,0.83,36.57,0,0,0,0,0
 48-58,0,0,0,24.68,0,13.39,0.56,0.95,132.94,5.07,0,0.82,0,0,8.21,61.74,1.98,10.39,307.05,0.5,43.92,53.42,88.23,0.39,2.52,95.82,0,4.22,0,0,0,0,0,40.69,0,3.44,0,2.06,0
 60-70,0,0,0,11.94,0,7.07,0.64,0.73,196.39,8.79,0,3.65,0,1.65,0,48.9,2.4,4.39,545.25,0,101.93,33.63,27.98,0,0,76.46,0,2.03,0,0,0.63,0,0,21.81,0.76,45.84,0,16.94,0
 72-82,0,0,0,14.63,0,29.4,1.23,5.53,182,6.11,0.66,1.42,0,2.05,0,55.77,0,0,738.63,0.82,65.07,26.98,83.95,0,0,144.34,0,4.27,2.87,0,0,0,0,30.88,0,63.55,0.73,91.4,0
 84-94,0,0,0,36.42,7.56,48.12,0.91,2.49,191.66,14.05,0.66,0,0,2.69,0,84.57,0,14.43,557.26,0,89.19,19.54,40.39,0,1.05,233.19,0,1.2,0.72,0,0,0,0,32.52,0,50.17,0.91,85.52,4.27
 96-106,0,0,0,50.13,21.5,33.88,2.36,6.66,163.74,5.02,0,1.98,1.61,1.41,3.88,100.33,1.15,21.15,616.88,2.42,54.85,36.37,59.38,0.73,0.63,172.52,0,5.73,7.77,0,0,0,0,12.71,0,18.78,3.26,116.05,0
108-118,0,0,0,30.56,0,36.28,1.58,0.87,126.32,4.02,1.56,0.8,1.6,9.93,1.25,66.27,0.6,2.69,807.79,0.77,64.2,34.59,60.73,1.49,0.87,184.47,0,6.45,3.63,0,0,0,0,2.35,1.35,18.09,8.99,108.49,0
120,0,0,0,10.91,8.54,24.18,1.04,0,142.52,0,0,10.68,3.15,9.77,0,111.81,0,5.34,497.23,0,4.58,5.74,81.78,3.31,0,174.18,0,0,0,0,0,0,0,3.82,0,44.32,0,86.31,0
