stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm
  3-4,0,63.29,0,0,0,0,0,0,0,0
  5-6,6.36,64.14,0,0,0,0,0,0,0,8.08
  7-9,0,6.05,8.76,10.74,0,13.27,28.28,7.54,19.01,0
 10-12,0,0,20.12,6.4,0,0,110.74,0,31,0
 24-34,0,0,0,0,0,0,0.76,0,0,0
 36-46,0,0,0,0,0,0,1.75,0,0,0
 48-58,0,0,0,0,3.22,0,0.89,0.51,0,0
