stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.02,270.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.84,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,437.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,7.94,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,55.47,20.85,0,20.76,0,0,0,66.69,0,0,0,0,0,64.53,0,0,0,0,0,0,0,0,0,0,0,832.14,11.75,0,0,204.42,11.55,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,24.52,0,72.37,0,14.23,0,84.86,0,0,0,0,0,47.66,0,0,0,0,0,0,0,0,0,0,0,1127.66,20.36,0,0,302.73,0,0,0,34.42,0,0,0,0,0,0,0
 14-21,0,0,1.05,5.17,92.14,45.83,0,65.94,0,0,0,3.02,6.56,3.4,0.92,1.15,5.7,0,0,0,1.08,39.09,0,0,15.58,497.85,9.35,3.88,6.47,4.5,13.11,0,90.55,4.56,10.08,136.84,127.41,0,7.41,0,0.95
 24-34,0,0,0.84,3.92,20.19,16.81,0,65.46,1.35,1.24,1.91,7.37,1.7,0,0,1.76,8.42,0,2.04,3.64,6.54,41.72,0,0,13.9,591.42,8.98,1.26,4.69,0,4.49,0,0,6.22,2.3,12.99,110.92,0,11.7,0,0.69
 36-46,0,0,0,0,14.62,0,0,60.31,0.59,0,0,11.24,0,9.55,2.41,0,0.6,0,0,16.36,0,36.26,0,0,7.66,330.05,0,3.81,2.42,0,4.69,0,0,4.69,9.98,0,47.58,1.04,4.67,0,0
 48-58,0,0,0.44,0,3.99,1.54,0,112.1,3.21,0,0.56,21.52,2.3,0,1.76,1.93,12.9,2.51,0,1.59,0,31.22,0,0,11.25,283.02,0.43,1.12,7.59,0,5.12,0,0,0,3.16,0,60.63,0,3.52,0,13.79
 60-70,0,0,0.57,0,2.25,0.66,0,85.97,2.75,0,1.35,24.65,4.67,0,0,2.46,0,0,0.77,8.27,0,40.56,0,0,1.27,211.04,0,0,1.49,0,4.85,0,0,0,0.63,0,25.99,0.59,9.12,0,0
 72-82,0,0,0,0,7.18,0,0,84.12,1.52,0,3.1,19.84,4.26,0,1.32,1.05,1.16,0,0,5.6,0,40.95,0,8.23,5.44,230.97,0,0,2.08,0,13.45,0,0,0,0,0,14.48,2.23,2.89,0.79,0
 84-94,0,0,0,0,9.47,2.32,0,66.34,0,0.66,2.14,18.63,7.6,0,0,2.5,3.18,0,0.66,11.14,0,27.27,0.57,1.93,5.35,133.96,6.09,1.88,7.31,0,21.2,0,0,3.83,0.61,0,13.77,0,5.85,0,0
 96-106,0,0,0,0,6.05,0.57,1,79.42,1.63,0,0,17.64,3.03,0,0,2.16,0.81,0,0.75,12.51,0,31.55,0,2.13,4.41,129.62,0,0.59,2.75,0,24.87,0,0,0,0,0,23.19,3.69,8.25,0.87,0
108-118,0,0,0,0,12.17,2.69,5.82,68.04,2.47,1.07,1.55,33.25,2.28,0,0,2.28,2.27,0.59,1.06,8.67,0,33.99,0,2.22,10.08,190.84,0.41,2.53,4.03,0,18.19,0,0,3.05,0.98,0,6.27,0,1.1,0,0.98
120,0,0,1.22,0,18.51,5.38,1.06,24.26,0,3.07,1.04,16.41,11.55,0,0,1.01,2.43,1.87,0,8.11,0,58.14,1.72,10,16.72,129.84,0,0,11.75,0,23.29,0,0,0,3.15,0,2.78,0,2.78,0,0
