stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,2.16,18.74,2.92,0,0,0,4.15,0,0,2.35,0,0,1.71,0,0,0,0,1.16,0,0,1.02,6.64,0,0,0.93,0,30.65,0,0.82,3.15,6.02,0,0,0,0
 24-34,1.98,9.64,0,0,0.77,0,4.75,0,0,0,0,0,13.54,0,1.92,6.69,0,0.6,0,0,0,37.95,6.8,0,0,0,70.74,0,7.15,0.66,3.67,0,0,0,0
 36-46,0,3.68,0,0,0,0,1.27,0.61,0,0,0,0,6.73,0,0.61,0,0,0,0,0,0,47.52,10.8,0,0,0,130.13,0,1.93,0,6.76,0,0,0,0
 48-58,0.81,2.05,0,0,9.05,0,2.01,0,0,0.98,2.77,0,1.92,0.39,0,0,6.17,1.91,1.68,0,0,59.47,1.95,0.45,0,0,44.95,0,0,0,11.87,0,0,0,1.38
 60-70,0,3.69,0.79,0,4.26,0,2.13,0,1.59,8.48,2.94,0.8,1.99,0,10.96,0,0.59,7.88,0,0,1.69,44.47,12.12,0,0,0,41,0,0,0,1.14,0,0,0,0
 72-82,8.89,6.03,0.52,0,17.42,0,1.9,6.48,1.1,15.85,0.52,0.55,1.05,0,5.24,0.92,0,8.14,3.73,0,3.38,24.98,9.29,2.55,0,0,33.55,0,0,0,2.22,5.5,0.57,0.72,0
 84-94,5.37,11.83,1.32,0,11.74,0,3.74,0,0.68,17.75,0,2.48,2.52,0.87,0.66,0.57,0,0.66,6.36,0,0,34.78,8.88,1.28,0,4.92,71.3,0,0.67,0,0.65,33.82,0,0,0
 96-106,12.8,22.91,15.03,0.6,41.15,0.71,5.05,0,8.01,53.57,0,3.76,5.13,0,2.55,12.96,0,9,3.36,2.04,7.41,18.57,10.58,1.23,0,0,74.27,3.39,0,0,7.16,31.08,0,0.61,5.48
108-118,9.55,43.12,1.82,0,39.72,0,4.31,0,2.25,78.92,0,3.58,5.18,0,3.36,1.88,0.54,9.6,5.78,0,1.08,21.96,9.83,1.6,0,0,101.01,0,0,0,2.9,38.23,0,1.54,0
120,20.3,96.72,8.03,0,55.45,0,1.62,0,1.79,109.62,0,9.36,7.99,0,21.07,4.54,0,4.09,1.56,0,0,51.08,37.8,0,0,0,142.72,0,0,0,0,34.91,0,1.59,0
