stage,eye,glial,heart,neural,spinal.cord,vasculature
 14-21,0,0,0.85,0,0,0
 36-46,0,0,0,3.22,2.37,0
 48-58,0,0,0,3.01,0,0
 60-70,0,0,0,4.12,0,0
 72-82,2.63,0.97,0,0.81,0,0
 84-94,1.96,0,0,0.66,0,1.06
 96-106,0,0.94,0,7.32,0,0
